Rank,Class Rk,Year,Player Name,Tier,WR Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Type,Build,Separator,Height,Weight,BMI,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,Breakout,Y/RR,YAC/R,aDOT,EPA/P,aYPTPA,CTPRR,UCTPRR,Drop%,CC%,Wide %,Slot %,Speed,HaSS
150,12,2025,Isaac TeSlaa,Upside Lite,8.73,75.60,0.17,Arkansas,1,2/20/02,23.62,RS SR,23.20,Slot,PROTO X,Poor Earner,76,214,26.05,4.44,3,0.00%,33.65%,30.18%,15.60%,14.90%,24.28%,24.28%,19.54,1.99,6.00,14.30,1.42,0.00,3%,11%,0.00%,0.0%,30.40%,69.40%,110.13,115.80
151,11,2018,Keke Coutee,Upside Lite,8.72,75.40,0.17,Texas Tech,3,1/14/97,28.72,JR,21.29,Slot,RAT,Elite Separator,69,187,27.61,4.43,4,0.00%,0.00%,2.08%,16.02%,32.94%,32.94%,31.29%,20.65,3.10,8.90,10.30,0.88,2.64,3%,23%,7.90%,0.0%,5.05%,93.95%,97.11,88.33
152,13,2025,Jalen Royals,Upside Lite,8.72,75.20,0.16,Utah State,7,2/18/03,22.62,SR,22.20,Wide,BALL HOG,Elite Earner,72,205,27.80,4.42,4,0.00%,0.00%,0.00%,32.80%,44.54%,44.54%,33.85%,20.54,3.00,7.90,13.20,1.46,0.00,5%,24%,5.20%,0.0%,84.65%,15.35%,107.42,104.15
153,15,2023,Cedric Tillman,Upside Lite,8.70,75.10,0.16,Tennessee,1,4/19/00,25.46,SR,23.04,Wide,SLOB,Elite Earner,75,213,26.62,4.54,3,-0.13%,2.08%,3.27%,32.34%,21.31%,26.83%,26.83%,21.37,2.46,5.00,14.40,1.09,3.15,7%,22%,5.10%,0.0%,89.80%,10.10%,100.27,103.36
154,13,2015,Tyler Lockett,Upside Lite,8.70,74.90,0.15,Kansas State,3,9/28/92,33.02,SR,22.59,Wide,RAT,N/A,71,175,24.41,4.40,3,0.00%,12.49%,25.48%,43.20%,40.55%,41.88%,39.78%,19.94,3.65,4.30,11.90,0.00,0.00,N/A,N/A,6.20%,0.0%,84.30%,15.30%,93.38,88.66
155,14,2017,Amara Darboh,Upside Lite,8.68,74.70,0.14,Michigan,2,2/1/94,31.67,SR,23.25,Wide,PROTO Z,N/A,74,212,27.22,4.45,3,0.00%,0.00%,23.16%,23.53%,31.28%,31.28%,31.28%,20.59,2.45,5.50,14.90,0.60,2.33,N/A,N/A,9.50%,0.0%,90.90%,10.30%,108.12,109.23
156,14,2015,Kenny Bell,Upside Lite,8.67,74.60,0.14,Nebraska,2,2/25/92,33.61,SR,23.18,Hybrid,PROTO Z,N/A,73,197,25.99,4.42,5,0.00%,21.80%,29.72%,22.57%,28.73%,29.22%,29.22%,19.53,3.04,6.40,15.60,0.00,0.00,N/A,N/A,9.60%,0.0%,71.00%,18.20%,103.23,102.18
157,14,2024,Ja'Lynn Polk,Upside Lite,8.64,74.40,0.12,Washington,5,4/11/01,24.48,JR,23.06,Hybrid,BALL HOG,Poor Separator,73,203,26.78,4.52,2,0.00%,9.90%,16.89%,14.44%,22.48%,22.48%,21.36%,22.39,2.30,5.20,15.80,1.12,1.21,5%,17%,5.50%,0.0%,47.85%,51.90%,97.27,96.28
158,12,2018,Equanimeous St. Brown,Upside Lite,8.63,74.30,0.11,Notre Dame,2,9/30/96,29.01,JR,21.58,Wide,PROTO X,Poor Separator,77,214,25.38,4.48,6,0.00%,0.00%,0.00%,31.50%,22.14%,26.82%,26.82%,19.93,2.69,6.00,15.00,0.97,2.48,5%,18%,8.30%,0.0%,81.25%,18.60%,106.25,113.93
159,18,2022,Romeo Doubs,Upside Lite,8.59,74.10,0.09,Nevada,7,4/13/00,25.47,SR,22.05,Wide,DEEP,Elite Separator,74,201,25.81,4.47,4,0.00%,15.51%,25.99%,34.89%,29.12%,32.00%,24.32%,19.39,3.04,6.80,17.10,0.93,2.76,3%,20%,4.80%,0.0%,83.95%,16.05%,100.69,101.72
160,12,2026,Eric McAlister,Upside Lite,8.58,73.90,0.09,TCU,3,6/30/03,22.26,SR,22.84,Wide,SLOB,Poor Earner,75,205,25.62,4.5,5,0.00%,10.45%,43.83%,17.99%,31.25%,37.54%,35.66%,20.19,3.03,13.50,13.60,0.00,0.00,4%,18%,11.40%,0.0%,77.50%,20.00%,99.98,103.06
161,14,2025,Chimere Dike,Upside Lite,8.55,73.80,0.07,Florida,1,12/14/02,22.80,RS SR,22.38,Hybrid,PROTO Z,Poor Earner,73,196,25.86,4.34,4,14.92%,13.06%,28.84%,13.54%,26.69%,27.76%,27.76%,19.72,2.30,6.00,14.90,1.25,0.00,4%,16%,8.70%,0.0%,69.30%,30.30%,110.49,109.37
162,9,2019,Diontae Johnson,Upside Lite,8.55,73.60,0.07,Toledo,9,7/5/96,29.25,JR,22.82,Hybrid,BALL HOG,Elite Separator,70,183,26.26,4.53,3,0.00%,7.04%,0.00%,32.61%,25.68%,29.15%,20.40%,21.17,3.68,9.00,13.30,0.94,3.02,2%,23%,12.50%,0.0%,72.80%,26.20%,86.91,80.78
163,15,2025,Elic Ayomanor,Upside Lite,8.55,73.40,0.07,Stanford,4,6/30/03,22.26,JR,21.84,Wide,PROTO Z,Poor Separator,74,206,26.45,4.44,4,0.00%,0.00%,0.00%,36.55%,36.21%,36.38%,34.56%,20.18,2.33,5.10,14.20,1.10,0.00,7%,18%,8.70%,0.0%,86.25%,13.65%,106.01,107.10
164,13,2018,Anthony Miller,Upside Lite,8.51,73.30,0.04,Memphis,6,10/9/94,30.99,SR,23.56,Hybrid,RAT,Elite Earner,71,185,25.80,4.38,2,0.00%,0.00%,17.36%,36.24%,33.57%,34.91%,29.67%,21.91,3.47,7.40,12.10,0.77,3.01,6%,30%,11.10%,0.0%,65.25%,33.45%,100.53,95.45
165,16,2021,Josh Palmer,Upside Lite,8.50,73.10,0.04,Tennessee,1,9/22/99,26.03,SR,21.62,Wide,DEEP,Poor Separator,73,210,27.52,4.52,3,0.00%,4.70%,20.96%,18.76%,23.20%,23.20%,23.20%,18.96,2.12,2.80,17.10,0.53,1.67,7%,15%,5.90%,0.0%,80.00%,19.40%,100.62,100.11
166,15,2017,Mack Hollins,Upside Lite,8.50,73.00,0.04,North Carolina,4,9/16/93,32.05,JR,23.63,Wide,SLOB,N/A,76,206,25.07,4.53,4,0.00%,0.00%,16.96%,20.27%,8.11%,20.27%,19.26%,21.97,3.30,7.30,20.10,1.08,1.18,N/A,N/A,5.90%,0.0%,91.70%,6.85%,97.84,102.87
167,14,2018,Jordan Lasley,Upside Lite,8.49,72.80,0.03,UCLA,5,11/13/96,28.89,JR,21.46,Wide,BALL HOG,Elite Earner,73,214,28.23,4.5,5,0.00%,0.00%,0.00%,17.48%,28.23%,28.23%,26.82%,20.82,3.15,7.30,12.80,0.78,3.00,6%,20%,15.90%,0.0%,87.30%,12.45%,104.37,103.31
168,12,2016,Tyreek Hill,Upside Lite,8.49,72.60,0.03,West Alabama,11,3/1/94,31.60,SR,22.17,Slot,RAT,N/A,70,185,26.54,4.29,5,0.00%,20.10%,35.10%,9.67%,17.71%,26.40%,15.84%,18.52,3.50,10.00,2.50,0.00,0.00,N/A,N/A,3.10%,0.0%,6.10%,13.05%,109.24,101.53
169,16,2023,Michael Wilson,Upside Lite,8.49,72.50,0.03,Stanford,5,2/23/00,25.61,RS SR,23.19,Wide,PROTO Z,Poor Separator,72,213,28.89,4.58,3,4.61%,21.34%,22.19%,20.79%,27.59%,27.59%,26.21%,19.53,2.30,6.90,10.40,0.96,2.07,5%,16%,12.90%,0.0%,80.35%,19.25%,96.82,93.87
170,13,2026,Chris Bell,Upside Lite,8.48,72.30,0.03,Louisville,4,6/1/03,22.34,SR,22.92,Wide,PROTO Z,Poor Earner,74,220,28.25,4.4,3,0.00%,5.68%,12.28%,21.47%,25.35%,25.35%,24.09%,21.27,2.66,7.20,12.50,0.00,0.00,4%,11%,8.50%,0.0%,83.30%,6.70%,117.39,118.59
171,14,2026,Aaron Anderson,Upside Lite,8.47,72.10,0.02,LSU,1,12/2/02,22.84,RS JR,23.42,Slot,RAT,Poor Earner,68,187,28.43,4.38,4,0.00%,0.00%,1.58%,20.72%,26.64%,26.64%,26.64%,21.76,3.18,7.70,7.50,0.00,0.00,3%,18%,5.40%,0.0%,8.30%,91.70%,101.62,90.43
172,15,2018,Daesean Hamilton,Upside Lite,8.46,72.00,0.02,Penn State,2,3/10/95,30.57,SR,23.15,Slot,PROTO Z,Poor Separator,73,198,26.12,4.49,4,0.00%,29.63%,20.80%,13.86%,22.72%,26.18%,26.18%,19.49,2.02,6.30,10.90,0.99,1.87,4%,15%,7.00%,0.0%,0.80%,99.20%,97.43,96.44
173,15,2020,Quez Watkins,Upside Lite,8.43,71.80,0.00,Southern Miss,10,6/8/98,27.32,JR,21.89,Wide,BALL HOG,Poor Separator,72,193,26.18,4.35,6,0.00%,0.00%,10.80%,31.69%,31.30%,31.49%,22.05%,20.24,2.99,9.10,14.30,0.80,2.86,8%,18%,10.00%,0.0%,83.70%,16.30%,107.80,104.52
174,19,2022,Danny Gray,Outlier,8.40,71.70,-0.02,SMU,6,4/1/99,26.51,SR,23.09,Wide,PROTO Z,Elite Earner,74,198,25.42,4.33,3,0.00%,0.00%,0.00%,14.09%,21.98%,21.98%,18.68%,22.44,2.69,9.60,10.90,1.14,2.03,5%,19%,12.50%,0.0%,75.95%,23.60%,112.65,113.80
175,17,2017,Rodney Adams,Outlier,8.39,71.50,-0.03,USF,6,9/15/94,31.05,SR,22.63,Slot,BALL HOG,N/A,73,190,25.07,4.44,5,0.00%,0.60%,13.68%,32.18%,27.95%,30.06%,25.55%,20.97,2.61,12.00,13.90,0.41,2.30,N/A,N/A,4.10%,0.0%,18.80%,53.55%,97.78,96.78
176,15,2024,Johnny Wilson,Outlier,8.36,71.30,-0.04,Florida State,4,4/3/01,24.50,RS JR,23.08,Wide,SLOB,Poor Separator,78,231,26.69,4.52,6,0.00%,11.45%,5.85%,25.54%,24.54%,25.04%,23.79%,21.41,3.36,7.10,15.80,0.90,2.40,9%,19%,10.90%,0.0%,88.40%,11.40%,110.68,121.00
177,16,2017,Robert Davis,Outlier,8.34,71.20,-0.05,Georgia State,8,4/2/95,30.51,SR,22.08,Wide,PROTO X,N/A,75,217,27.12,4.45,6,0.00%,23.42%,21.86%,22.44%,32.76%,32.76%,24.90%,18.43,2.39,6.30,13.00,0.42,2.31,N/A,N/A,4.30%,0.0%,88.50%,10.20%,110.68,114.08
178,16,2024,Jermaine Burton,Outlier,8.32,71.00,-0.06,Alabama,1,6/28/01,24.27,SR,22.85,Hybrid,DEEP,Poor Separator,72,196,26.58,4.45,3,0.00%,16.17%,13.15%,17.92%,27.85%,27.85%,27.85%,22.18,2.75,5.00,20.20,1.21,1.55,6%,14%,0.00%,0.0%,70.10%,29.60%,99.96,96.92
179,17,2023,Trey Palmer,Outlier,8.32,70.80,-0.07,Nebraska,2,4/2/01,24.50,SR,22.08,Hybrid,BALL HOG,Elite Earner,72,192,26.04,4.33,6,0.00%,0.10%,3.46%,10.40%,39.36%,39.36%,39.36%,21.42,3.26,5.90,13.50,0.86,3.07,7%,27%,13.40%,0.0%,39.00%,60.70%,109.24,105.91
180,17,2021,Simi Fehoko,Outlier,8.31,70.70,-0.07,Stanford,5,11/5/97,27.91,JR,23.50,Hybrid,DEEP,Elite Earner,76,220,26.78,4.37,5,0.00%,0.00%,0.17%,17.97%,33.29%,33.29%,31.63%,22.85,2.73,7.00,21.90,1.03,2.65,6%,22%,14.00%,0.0%,61.10%,38.90%,120.65,126.86
181,10,2019,Gary Jennings,Outlier,8.30,70.50,-0.07,West Virginia,3,3/7/97,28.58,SR,22.15,Slot,BALL HOG,Poor Separator,73,214,28.23,4.42,4,0.00%,3.55%,4.94%,27.26%,21.75%,24.50%,23.28%,20.50,2.69,6.60,13.40,1.11,2.28,5%,16%,10.00%,0.0%,2.00%,97.40%,112.14,111.00
182,18,2021,Amari Rodgers,Outlier,8.29,70.40,-0.08,Clemson,4,9/23/99,26.03,SR,21.61,Slot,RAT,Elite Separator,70,212,30.86,4.52,2,0.00%,3.73%,13.74%,9.85%,24.39%,24.39%,23.17%,20.97,2.78,11.00,7.60,0.68,2.08,2%,25%,7.20%,0.0%,10.70%,88.35%,101.58,93.40
183,16,2025,Jack Bech,Outlier,8.27,70.20,-0.10,TCU,3,2/18/02,23.62,SR,23.20,Hybrid,PROTO Z,Poor Separator,73,214,28.23,4.55,2,0.00%,15.42%,6.19%,5.85%,27.54%,27.54%,26.16%,22.54,2.44,5.50,13.30,0.98,0.00,5%,17%,1.60%,0.0%,43.85%,51.25%,99.86,98.84
184,18,2017,Carlos Henderson,Outlier,8.25,70.00,-0.11,LA Tech,10,12/19/94,30.79,JR,22.37,Wide,DEEP,N/A,70,165,23.67,4.46,3,0.00%,0.00%,16.11%,18.42%,30.17%,30.17%,21.12%,21.73,3.66,9.60,20.50,0.83,2.98,N/A,N/A,4.70%,0.0%,95.00%,7.35%,83.40,77.52
185,16,2020,Lynn Bowden Jr.,Outlier,8.23,69.90,-0.12,Kentucky,1,10/14/97,27.97,JR,22.54,Slot,BALL HOG,Elite Earner,71,198,27.62,4.46,3,0.00%,0.00%,8.59%,35.49%,23.40%,29.45%,29.45%,20.89,2.24,7.00,11.60,0.51,2.53,4%,29%,16.70%,0.0%,11.30%,69.95%,100.08,95.02
186,18,2023,Dontayvion Wicks,Outlier,8.22,69.70,-0.12,Virginia,4,5/3/01,24.42,JR,22.00,Wide,PROTO Z,Elite Earner,73,206,27.18,4.57,5,0.00%,1.63%,0.00%,25.53%,24.32%,24.93%,23.68%,20.33,3.25,5.00,14.60,0.97,2.17,5%,20%,23.10%,0.0%,86.70%,13.30%,94.46,93.49
187,17,2024,Luke McCaffrey,Outlier,8.21,69.50,-0.13,Rice,6,4/2/01,24.50,RS JR,23.08,Slot,BALL HOG,Poor Separator,74,198,25.42,4.46,3,0.00%,0.00%,0.00%,28.22%,30.26%,30.26%,25.72%,21.42,2.25,6.00,11.40,0.75,3.47,6%,13%,4.10%,0.0%,28.30%,71.10%,100.08,101.10
188,17,2020,Gabe Davis,Outlier,8.18,69.40,-0.14,UCF,6,4/1/99,26.51,JR,21.08,Wide,SLOB,Elite Earner,74,210,26.96,4.54,4,0.00%,0.00%,9.07%,24.35%,30.14%,30.14%,25.62%,19.43,2.95,4.60,16.50,0.78,2.91,7%,23%,6.50%,0.0%,93.40%,6.30%,98.86,99.87
189,18,2020,Tyler Johnson,Outlier,8.15,69.20,-0.16,Minnesota,2,8/25/98,27.11,SR,21.68,Slot,BALL HOG,Elite Earner,73,205,27.05,4.7,5,0.00%,6.25%,44.75%,43.07%,40.02%,42.38%,42.38%,19.03,3.34,5.60,12.70,0.92,4.08,6%,24%,6.50%,0.0%,17.20%,82.10%,84.02,83.17
190,15,2015,Ty Montgomery,Outlier,8.15,68.90,-0.16,Stanford,5,1/22/93,32.70,SR,22.27,Wide,RAT,N/A,72,220,29.84,4.55,3,0.00%,9.66%,9.68%,34.57%,23.89%,29.23%,27.77%,20.62,2.16,7.20,6.50,0.00,0.00,N/A,N/A,7.60%,0.0%,77.40%,21.60%,102.66,99.53
190,17,2025,KeAndre Lambert-Smith,Outlier,8.15,68.90,-0.16,Auburn,2,7/29/02,23.18,RS JR,22.76,Wide,PROTO Z,Poor Earner,73,186,24.54,4.38,5,8.98%,14.93%,11.85%,24.08%,30.98%,30.98%,30.98%,21.10,2.70,7.40,13.80,1.50,0.74,4%,18%,5.70%,0.0%,76.25%,23.60%,101.08,100.05
192,19,2020,Darnell Mooney,Outlier,8.12,68.70,-0.18,Tulane,6,10/29/97,27.93,SR,22.50,Hybrid,RAT,Elite Earner,71,174,24.27,4.38,5,0.00%,26.18%,31.20%,41.76%,26.61%,34.19%,29.06%,18.85,3.13,8.40,14.60,0.85,3.30,5%,19%,14.50%,0.0%,54.20%,45.50%,94.55,89.77
193,20,2020,Antonio Gandy-Golden,Outlier,8.11,68.60,-0.18,Liberty ,6,4/11/98,27.48,SR,22.05,Wide,SLOB,Elite Earner,76,223,27.14,4.6,4,0.00%,0.00%,0.00%,33.05%,37.17%,37.17%,31.59%,20.40,3.06,6.30,0.00,0.57,3.09,8%,22%,2.50%,0.0%,91.00%,8.80%,99.61,104.74
194,16,2015,DeAndre Smelter,Outlier,8.10,68.40,-0.19,Georgia Tech,4,12/3/91,33.84,SR,23.41,Wide,SLOB,N/A,74,226,29.02,4.58,4,0.00%,0.00%,0.00%,22.05%,44.33%,44.33%,42.12%,21.76,4.39,6.80,17.00,0.00,0.00,N/A,N/A,5.40%,0.0%,88.50%,5.50%,102.73,103.78
195,18,2025,Tory Horton,Outlier,8.09,68.20,-0.20,Colorado State,7,10/5/01,23.99,SR,23.58,Hybrid,BALL HOG,Elite Earner,74,196,25.16,4.41,5,11.70%,15.86%,47.89%,31.10%,25.13%,36.51%,27.75%,20.91,3.45,6.00,13.50,1.13,0.00,6%,33%,3.80%,0.0%,67.95%,31.90%,103.64,104.70
196,19,2017,Shelton Gibson,Outlier,8.08,68.10,-0.20,West Virginia,3,3/20/95,30.55,JR,22.12,Wide,DEEP,N/A,71,191,26.64,4.50,5,0.00%,0.00%,0.10%,27.13%,28.45%,28.45%,27.03%,20.46,2.58,8.80,20.60,0.77,2.33,N/A,N/A,8.50%,0.0%,92.80%,8.75%,93.16,88.44
197,16,2018,J'Mon Moore,Outlier,8.07,67.90,-0.21,Missouri,1,5/23/95,30.37,SR,22.94,Wide,PROTO X,Elite Earner,76,220,26.78,4.48,4,0.00%,1.25%,17.62%,28.55%,26.97%,27.76%,27.76%,21.29,2.85,7.20,13.40,0.72,2.52,5%,21%,11.00%,0.0%,98.00%,1.80%,109.23,114.85
198,20,2017,Ryan Switzer,Outlier,8.04,67.80,-0.23,North Carolina,4,11/4/94,30.92,SR,22.49,Slot,RAT,N/A,68,185,28.13,4.51,4,0.00%,9.46%,20.95%,18.86%,29.18%,29.18%,27.72%,19.84,2.76,9.30,8.10,0.56,2.43,N/A,N/A,3.00%,0.0%,12.40%,88.25%,89.43,79.58
199,11,2019,Miles Boykin,Outlier,8.02,67.60,-0.24,Notre Dame,2,8/12/96,29.15,SR,22.72,Wide,DEEP,Poor Separator,76,220,26.78,4.42,3,0.00%,0.00%,2.65%,10.88%,26.05%,26.05%,26.05%,22.07,2.13,5.20,19.60,1.08,2.09,6%,17%,4.80%,0.0%,83.35%,16.25%,115.28,121.21
200,19,2021,Tamorrion Terry,Outlier,8.00,67.40,-0.25,Florida State,4,3/21/98,27.54,JR,23.12,Wide,PROTO X,Poor Separator,75,207,25.87,4.45,0,0.00%,0.00%,22.96%,34.15%,16.32%,25.23%,23.97%,20.46,2.52,10.60,13.20,0.71,2.75,5%,18%,4.20%,0.0%,91.90%,8.00%,105.57,108.82
201,12,2019,Mecole Hardman,Outlier,7.98,67.30,-0.26,Georgia,1,3/12/98,27.56,JR,21.13,Slot,RAT,Elite Separator,70,187,26.83,4.33,2,0.00%,0.00%,0.00%,15.76%,17.16%,17.16%,17.16%,N/A,2.90,8.90,11.80,0.97,1.49,2%,28%,10.30%,0.0%,14.40%,84.50%,106.39,98.89
202,19,2023,Ronnie Bell,Outlier,7.98,67.10,-0.26,Michigan,2,1/28/00,25.68,SR,23.26,Hybrid,PROTO Z,Elite Earner,72,191,25.90,4.54,7,5.17%,23.25%,26.70%,33.23%,28.88%,31.05%,31.05%,19.60,2.56,8.00,11.50,0.69,4.47,5%,23%,7.50%,0.0%,62.35%,37.10%,89.92,87.18
203,18,2024,Jacob Cowing,Outlier,7.98,66.90,-0.26,Arizona,5,2/4/01,24.66,RS SR,23.24,Slot,RAT,Elite Separator,68,168,25.54,4.38,4,24.00%,41.27%,41.51%,27.06%,21.66%,31.58%,30.01%,18.58,2.16,7.50,8.40,0.76,2.24,3%,24%,6.30%,0.0%,29.05%,70.40%,91.29,81.24
204,20,2023,Tre Tucker,Outlier,7.96,66.80,-0.27,Cincinnati,8,3/8/01,24.57,SR,22.15,Slot,RAT,Elite Separator,69,182,26.88,4.37,3,0.00%,3.60%,9.89%,12.62%,21.30%,21.30%,16.19%,21.48,2.38,6.40,8.10,0.77,1.67,4%,23%,10.20%,0.0%,5.90%,92.85%,99.81,90.79
205,19,2025,Savion Williams,Outlier,7.96,66.60,-0.27,TCU,3,11/22/01,23.86,SR,23.44,Wide,SLOB,Elite Separator,76,222,27.02,4.49,3,0.68%,8.87%,9.99%,16.25%,20.04%,20.04%,19.04%,22.78,2.10,6.90,12.20,0.73,0.73,3%,25%,11.80%,0.0%,78.80%,17.70%,109.24,114.86
206,20,2021,Seth Williams,Outlier,7.95,66.50,-0.27,Auburn,1,4/10/00,25.48,JR,21.07,Wide,SLOB,Poor Separator,75,211,26.37,4.49,6,0.00%,0.00%,18.46%,30.77%,31.37%,31.37%,31.37%,19.40,2.58,5.50,13.80,0.53,2.19,8%,19%,14.50%,0.0%,80.25%,19.75%,103.83,107.03
207,17,2018,Antonio Callaway,Outlier,7.94,66.30,-0.28,Florida,1,1/9/97,28.73,JR,21.31,Hybrid,PROTO Z,Poor Earner,71,201,28.03,4.41,4,0.00%,0.00%,23.39%,25.70%,0.00%,12.85%,12.85%,18.65,2.17,6.90,11.10,0.49,1.89,0%,0%,11.50%,0.0%,45.65%,3.80%,106.28,100.91
208,13,2019,JJ Arcega-Whiteside,Outlier,7.93,66.10,-0.29,Stanford,5,12/31/96,28.76,SR,22.33,Wide,SLOB,Poor Separator,74,225,28.89,4.49,2,0.00%,0.00%,18.43%,29.95%,29.83%,29.89%,28.39%,20.68,2.92,3.40,17.00,0.99,2.78,10%,16%,6.00%,0.0%,83.75%,16.25%,110.72,111.85
209,19,2024,Roman Wilson,Outlier,7.90,66.00,-0.31,Michigan,2,6/19/01,24.29,SR,22.87,Slot,RAT,Elite Separator,71,185,25.80,4.39,3,0.00%,8.12%,13.12%,12.21%,24.61%,24.61%,24.61%,22.21,2.68,7.60,13.90,1.50,1.50,3%,20%,2.00%,0.0%,20.40%,79.35%,99.62,94.58
210,14,2019,Terry McLaurin,Outlier,7.89,65.80,-0.31,Ohio State,2,9/15/95,30.05,SR,23.62,Wide,DEEP,Poor Separator,72,209,28.35,4.35,3,0.00%,0.00%,4.10%,11.85%,17.66%,17.66%,17.66%,N/A,2.19,6.30,17.30,1.73,1.44,5%,10%,5.40%,0.0%,87.10%,12.60%,116.74,113.18
211,20,2024,Javon Baker,Outlier,7.88,65.60,-0.32,UCF,3,2/18/02,23.62,SR,22.20,Wide,DEEP,Elite Earner,73,202,26.65,4.54,4,0.00%,0.73%,2.71%,30.00%,33.85%,33.85%,32.16%,20.53,3.21,7.20,17.10,1.47,1.76,5%,19%,10.30%,0.0%,81.15%,18.70%,95.10,94.13
212,20,2025,Jaylin Lane,Outlier,7.87,65.50,-0.32,Virginia Tech,4,5/1/02,23.42,SR,23.01,Slot,RAT,Elite Separator,70,191,27.41,4.35,4,7.56%,16.56%,32.27%,22.23%,20.50%,26.39%,25.07%,20.34,1.82,9.90,7.60,0.75,0.66,2%,19%,9.50%,0.0%,11.35%,87.30%,106.69,99.16
213,21,2025,Pat Bryant,Outlier,7.79,65.30,-0.37,Illinois,2,12/10/02,22.81,SR,22.39,Wide,SLOB,Poor Earner,74,204,26.19,4.61,3,0.00%,6.27%,17.67%,24.17%,38.83%,38.83%,38.83%,20.73,2.83,6.90,14.40,1.40,0.00,4%,19%,1.80%,0.0%,78.25%,20.85%,90.34,91.26
214,18,2018,Deon Cain,Outlier,7.79,65.20,-0.37,Clemson,4,8/9/96,29.15,JR,21.73,Wide,DEEP,Elite Earner,74,203,26.06,4.43,6,0.00%,0.00%,13.31%,14.45%,22.26%,22.26%,21.15%,21.09,2.79,5.70,18.20,0.66,1.56,6%,20%,7.90%,0.0%,91.50%,8.50%,105.42,106.49
215,15,2019,Darius Slayton,Outlier,7.79,65.00,-0.37,Auburn,1,1/12/97,28.73,RS JR,22.30,Wide,DEEP,Poor Earner,73,190,25.07,4.39,5,0.00%,0.00%,13.25%,19.68%,23.17%,23.17%,23.17%,21.65,2.23,8.10,18.10,0.77,2.14,4%,12%,18.60%,0.0%,85.65%,14.35%,102.31,101.27
216,21,2017,Josh Reynolds,Outlier,7.78,64.80,-0.37,Texas A&M,1,2/16/95,30.63,SR,22.21,Wide,PROTO X,N/A,75,192,24.00,4.57,4,0.00%,0.00%,21.20%,27.29%,31.32%,31.32%,31.32%,19.55,2.33,7.90,14.70,0.94,2.22,N/A,N/A,9.00%,0.0%,96.40%,3.15%,88.04,90.75
217,21,2023,Xavier Hutchinson,Outlier,7.75,64.70,-0.39,Iowa State,3,6/1/00,25.34,SR,22.92,Hybrid,SLOB,Elite Earner,74,213,27.35,4.53,6,0.00%,0.00%,26.63%,28.78%,37.27%,37.27%,35.41%,20.28,2.72,6.10,9.20,1.00,2.44,7%,30%,5.30%,0.0%,73.65%,25.55%,101.16,102.20
218,16,2019,Dillon Mitchell,Outlier,7.75,64.50,-0.39,Oregon,5,5/16/97,28.39,JR,21.96,Wide,BALL HOG,Elite Earner,73,203,26.78,4.46,7,0.00%,0.00%,0.28%,20.94%,36.75%,36.75%,34.91%,20.31,2.99,5.20,14.60,0.60,2.83,9%,24%,9.60%,0.0%,79.10%,20.60%,102.61,101.56
219,20,2022,Erik Ezukanma,Outlier,7.75,64.30,-0.39,Texas Tech,3,1/25/00,25.69,SR,22.27,Wide,SLOB,Elite Earner,75,220,27.50,4.49,4,0.00%,1.13%,17.04%,28.05%,21.08%,24.56%,23.34%,20.63,2.31,7.80,13.10,0.81,2.17,5%,19%,7.80%,0.0%,84.55%,14.85%,108.26,111.59
220,21,2021,Dez Fitzpatrick,Outlier,7.75,64.20,-0.39,Louisville,4,12/17/97,27.80,SR,23.38,Wide,PROTO Z,Poor Earner,74,208,26.89,4.49,4,0.00%,17.93%,16.66%,20.83%,31.01%,31.01%,29.46%,21.72,2.49,8.80,14.20,0.98,2.64,4%,18%,10.40%,0.0%,94.30%,5.70%,102.35,102.88
221,21,2024,Devontez Walker,Outlier,7.75,64.00,-0.39,North Carolina,4,6/19/01,24.29,JR,22.87,Wide,DEEP,Poor Separator,73,193,25.46,4.36,4,0.00%,0.00%,3.60%,31.33%,29.20%,30.27%,28.76%,21.20,2.62,4.80,18.20,0.60,2.64,6%,16%,6.80%,0.0%,87.50%,12.50%,106.82,105.73
222,17,2015,Chris Conley,Outlier,7.74,63.90,-0.40,Georgia,1,10/25/92,32.95,SR,22.52,Wide,PROTO X,N/A,75,205,25.62,4.35,3,0.00%,10.71%,8.57%,18.84%,25.28%,25.28%,25.28%,21.87,2.49,4.40,12.10,0.00,0.00,N/A,N/A,7.70%,0.0%,87.60%,12.40%,114.51,118.03
223,15,2026,Antonio Williams,Outlier,7.72,63.70,-0.41,Clemson,4,7/14/04,21.22,SR,21.80,Hybrid,BALL HOG,Poor Separator,71,190,26.50,4.45,3,0.00%,18.56%,18.21%,23.29%,19.68%,23.29%,22.12%,20.15,2.21,4.50,10.70,0.00,0.00,4%,18%,9.60%,0.0%,40.50%,58.00%,96.90,92.00
224,22,2025,Isaiah Bond,Outlier,7.71,63.50,-0.41,Texas,1,3/15/04,21.55,JR,21.13,Hybrid,RAT,Poor Earner,71,180,25.10,4.39,0,0.00%,0.00%,6.01%,21.75%,13.83%,17.79%,17.79%,19.47,2.02,8.00,14.60,1.10,0.00,4%,15%,5.60%,0.0%,58.85%,40.60%,96.93,92.02
