Rank,Class Rk,Year,Player Name,Tier,RB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Class,Draft Age,Build,Type,Height,Weight,BMI,40 Time,Draft Cap,RDOM1,RDOM2,RDOM3,RDOM4,RDOM5,TDOM,RDOM+,DOM1,DOM2,ADOM,DOM+,BOUT,Speed,BMI,MTF/A,YPC,YPR,RPT,ELU,YCO/A,Break %
144,10,2021,Jermar Jefferson,Outlier,6.85,55.90,-0.49,Oregon State,5,4/15/00,25.47,JR,21.05,FREAK,#DIV/0!,70,216,30.99,4.44,7,0.00%,0.00%,31.32%,15.60%,32.32%,32.32%,27.47%,2.71%,4.53%,4.53%,3.85%,18.39,111.16,30.99,0.20,6.50,#DIV/0!,#DIV/0!,74.90,3.67,44.20
145,13,2018,Nyheim Hines,Outlier,6.84,55.60,-0.49,NC State,4,11/12/96,28.89,JR,21.47,JITTERBUG,#DIV/0!,69,197,29.09,4.38,4,0.00%,0.00%,9.32%,10.46%,21.51%,21.51%,19.35%,15.52%,4.25%,9.88%,8.89%,20.83,107.05,29.09,0.23,5.70,#DIV/0!,#DIV/0!,77.90,3.76,44.20
146,11,2022,Ty Chandler,Outlier,6.83,55.30,-0.49,North Carolina,4,5/12/98,27.40,RS SR,23.98,DYNAMIC,#DIV/0!,71,204,28.45,4.38,5,10.83%,18.06%,15.13%,16.38%,21.48%,21.48%,19.33%,5.42%,6.35%,6.35%,5.71%,20.32,110.86,28.45,0.26,6.00,#DIV/0!,#DIV/0!,102.00,3.86,47.80
147,14,2024,George Holani,Outlier,6.80,55.00,-0.51,Boise State,7,12/16/00,24.80,RS SR,23.38,BELL CALF,#DIV/0!,70,208,29.84,4.52,0,20.32%,15.13%,65.08%,25.97%,27.40%,46.24%,34.68%,6.09%,11.24%,11.24%,8.43%,18.72,99.66,29.84,0.32,5.69,#DIV/0!,#DIV/0!,121.60,3.65,38.20
148,12,2019,Travis Homer,Outlier,6.79,54.70,-0.51,Miami,4,8/7/98,27.16,JR,20.73,DYNAMIC,#DIV/0!,70,201,28.84,4.48,6,0.00%,0.00%,0.74%,22.68%,25.06%,25.06%,22.56%,6.95%,8.55%,8.55%,7.70%,19.08,99.80,28.84,0.19,6.00,#DIV/0!,#DIV/0!,87.40,4.06,49.20
149,13,2019,Alexander Mattison,Outlier,6.74,54.40,-0.53,Boise State,7,6/19/98,27.29,JR,20.86,BELL COW,#DIV/0!,71,221,30.82,4.6,3,0.00%,0.00%,6.22%,24.23%,26.58%,26.58%,19.94%,7.86%,4.56%,6.21%,4.66%,19.21,98.72,30.82,0.23,5.10,#DIV/0!,#DIV/0!,65.10,3.23,35.50
150,15,2023,Kenny McIntosh,Outlier,6.71,54.10,-0.55,Georgia,1,4/3/00,25.50,SR,23.08,BELL COW,#DIV/0!,72,204,27.67,4.62,7,0.00%,3.10%,8.54%,8.58%,17.73%,17.73%,17.73%,6.41%,11.47%,11.47%,11.47%,22.44,89.56,27.66,0.47,5.70,#DIV/0!,#DIV/0!,183.20,3.76,27.30
151,15,2024,Isaiah Davis,Outlier,6.68,53.80,-0.56,South Dakota State,11,2/21/02,23.61,SR,22.19,BELL COW,#DIV/0!,72,218,29.57,4.57,5,0.00%,22.11%,22.95%,28.92%,25.76%,27.34%,15.04%,6.18%,5.97%,6.07%,3.34%,18.54,99.96,29.56,0.34,6.70,#DIV/0!,#DIV/0!,151.40,4.74,51.50
152,19,2025,Ollie Gordon II,Outlier,6.68,53.50,-0.56,Oklahoma State,3,1/15/04,21.72,JR,21.30,BRUISER,#DIV/0!,73,226,29.82,4.61,6,0.00%,0.00%,7.24%,34.11%,23.43%,28.77%,25.89%,8.52%,6.29%,7.41%,6.67%,19.65,100.08,29.81,0.24,6.08,#DIV/0!,#DIV/0!,90.30,3.71,54.80
153,11,2021,Jaret Patterson,Outlier,6.66,53.20,-0.57,Buffalo,7,12/23/99,25.78,JR,21.36,DYNAMIC,#DIV/0!,69,194,28.65,4.51,0,0.00%,0.00%,18.51%,39.75%,32.09%,35.92%,26.94%,11.36%,0.00%,5.68%,4.26%,18.70,93.78,28.65,0.34,7.70,#DIV/0!,#DIV/0!,159.20,4.74,55.40
154,16,2023,Eric Gray,Outlier,6.66,52.90,-0.57,Oklahoma,3,11/4/99,25.92,SR,23.49,BELL CALF,#DIV/0!,69,207,30.57,4.57,5,0.00%,13.76%,29.46%,10.24%,26.16%,27.81%,25.03%,6.69%,7.19%,7.19%,6.47%,20.84,94.92,30.57,0.35,6.50,#DIV/0!,#DIV/0!,105.30,3.43,39.60
155,13,2016,Wendell Smallwood,Outlier,6.63,52.50,-0.58,West Virginia,3,1/20/94,31.71,JR,22.28,DYNAMIC,#DIV/0!,71,208,29.01,4.47,5,0.00%,0.00%,7.16%,16.07%,26.75%,26.75%,24.07%,7.91%,4.68%,6.30%,5.67%,20.63,104.20,29.01,0.18,6.37,#DIV/0!,#DIV/0!,50.00,2.74,32.70
156,12,2022,Tyler Allgeier,Outlier,6.63,52.20,-0.58,BYU,7,4/15/00,25.47,SR,22.05,BELL COW,#DIV/0!,71,224,31.24,4.6,5,0.00%,1.31%,3.22%,20.86%,30.73%,30.73%,23.05%,4.37%,5.80%,5.80%,4.35%,20.41,100.06,31.24,0.29,7.60,#DIV/0!,#DIV/0!,142.00,4.72,50.90
157,14,2019,Jordan Scarlett,Outlier,6.62,51.90,-0.59,Florida,1,2/9/96,29.65,JR,23.22,DYNAMIC,#DIV/0!,71,208,29.01,4.47,5,0.00%,3.89%,20.39%,0.00%,15.27%,17.83%,17.83%,0.00%,2.74%,2.74%,2.74%,20.58,104.20,29.01,0.32,5.90,#DIV/0!,#DIV/0!,125.50,3.99,37.10
158,12,2020,Eno Benjamin,Outlier,6.61,51.60,-0.59,Arizona State,5,4/13/99,26.48,JR,21.04,BELL CALF,#DIV/0!,68,207,31.47,4.57,7,0.00%,0.00%,2.88%,35.17%,29.21%,32.19%,27.36%,8.69%,10.70%,10.70%,9.09%,19.40,94.92,31.47,0.28,5.50,#DIV/0!,#DIV/0!,101.50,3.43,43.70
159,20,2025,Raheim Sanders,Outlier,6.60,51.30,-0.59,South Carolina,1,6/8/02,23.32,SR,22.90,FREAK,#DIV/0!,72,217,29.43,4.46,0,0.00%,11.92%,28.02%,14.50%,24.36%,26.19%,26.19%,6.67%,11.60%,11.60%,11.60%,20.26,109.69,29.43,0.29,4.81,#DIV/0!,#DIV/0!,119.40,3.69,47.60
160,13,2020,Darrynton Evans,Outlier,6.59,51.00,-0.60,App State,8,7/9/98,27.24,JR,21.81,DYNAMIC,#DIV/0!,70,203,29.13,4.41,3,0.00%,4.46%,0.00%,22.72%,27.74%,27.74%,18.03%,3.59%,7.01%,7.01%,4.56%,20.16,107.34,29.12,0.20,6.70,#DIV/0!,#DIV/0!,71.40,3.90,65.50
161,8,2015,Mike Davis,Outlier,6.58,50.40,-0.60,South Carolina,1,2/19/93,32.62,JR,22.20,BELL CALF,#DIV/0!,69,217,32.04,4.61,4,0.00%,0.00%,6.86%,28.28%,23.33%,25.81%,25.81%,11.56%,10.02%,10.79%,10.79%,20.55,96.09,32.04,0.14,5.83,#DIV/0!,#DIV/0!,35.80,2.50,33.20
161,14,2020,DeeJay Dallas,Outlier,6.58,50.40,-0.60,Miami,4,9/16/98,27.05,JR,21.62,BELL CALF,#DIV/0!,70,217,31.14,4.58,4,0.00%,0.00%,5.89%,15.03%,17.32%,17.32%,15.59%,3.91%,4.32%,4.32%,3.89%,19.97,98.63,31.13,0.31,6.00,#DIV/0!,#DIV/0!,118.00,3.67,54.20
163,13,2022,Zamir White,Outlier,6.54,50.10,-0.62,Georgia,1,9/18/99,26.04,JR,22.62,DYNAMIC,#DIV/0!,72,214,29.02,4.4,4,0.00%,0.00%,7.49%,19.24%,12.32%,15.78%,15.78%,1.48%,1.91%,1.91%,1.91%,20.98,114.19,29.02,0.23,5.40,#DIV/0!,#DIV/0!,83.10,3.60,34.90
164,9,2015,Javorius Allen,Outlier,6.48,49.50,-0.64,USC,5,8/27/91,34.11,JR,23.68,BELL COW,#DIV/0!,72,221,29.97,4.53,4,0.00%,0.00%,0.00%,19.99%,32.68%,32.68%,27.78%,8.54%,12.01%,12.01%,10.21%,22.03,104.96,29.97,0.16,5.81,#DIV/0!,#DIV/0!,41.00,2.60,35.70
164,15,2019,Justice Hill,Outlier,6.48,49.50,-0.64,Oklahoma State,3,11/14/97,27.89,JR,21.46,JITTERBUG,#DIV/0!,70,198,28.41,4.4,4,0.00%,0.00%,18.41%,22.44%,15.35%,18.90%,17.01%,3.81%,1.71%,2.76%,2.49%,18.81,105.65,28.41,0.22,5.90,#DIV/0!,#DIV/0!,64.20,3.31,44.90
166,14,2022,Tyler Goodson,Outlier,6.44,49.20,-0.66,Iowa,2,11/10/00,24.90,JR,21.48,JITTERBUG,#DIV/0!,69,197,29.09,4.42,0,0.00%,0.00%,16.87%,31.13%,32.81%,32.81%,32.81%,9.23%,9.80%,9.80%,9.80%,18.82,103.23,29.09,0.23,5.40,#DIV/0!,#DIV/0!,67.00,3.41,42.70
167,16,2024,Rasheen Ali,Outlier,6.41,48.90,-0.67,Marshall,6,2/16/01,24.63,SR,23.21,DYNAMIC,#DIV/0!,71,206,28.73,4.4,5,0.00%,2.81%,29.18%,23.71%,31.01%,31.01%,23.26%,1.74%,7.63%,7.63%,5.72%,20.55,109.92,28.73,0.26,5.81,#DIV/0!,#DIV/0!,110.50,4.51,47.50
168,10,2015,Jay Ajayi,Outlier,6.39,48.60,-0.68,Boise State,7,6/15/93,32.31,JR,21.88,BELL COW,#DIV/0!,72,221,29.97,4.57,5,0.00%,0.00%,13.05%,26.61%,33.96%,33.96%,22.07%,8.61%,13.60%,13.60%,8.84%,20.23,101.33,29.97,0.15,5.72,#DIV/0!,#DIV/0!,51.40,3.36,39.60
169,12,2026,Makhi Hughes,Outlier,6.33,48.30,-0.71,Oregon,2,6/1/04,21.34,JR,21.92,DYNAMIC,+RECEIVER,71,210,29.29,4.44,0,0.00%,0.00%,27.79%,27.92%,3.12%,15.52%,15.52%,6.14%,0.70%,3.42%,3.42%,19.27,108.07,29.29,0.27,5.34,#DIV/0!,#DIV/0!,102.20,3.87,36.70
170,17,2024,Jase McClellan,Outlier,6.29,47.70,-0.72,Alabama,1,6/25/02,23.27,SR,21.85,BELL CALF,#DIV/0!,70,221,31.71,4.55,6,0.00%,11.58%,11.80%,13.30%,20.10%,20.10%,20.10%,4.75%,4.85%,4.85%,4.85%,21.21,103.13,31.71,0.28,5.86,#DIV/0!,#DIV/0!,87.20,3.50,34.70
170,15,2022,Jerrion Ealy,Outlier,6.29,47.70,-0.72,Ole Miss,1,8/19/00,25.12,JR,21.70,DYNAMIC,#DIV/0!,69,189,27.91,4.59,0,0.00%,0.00%,16.69%,16.20%,15.56%,16.13%,16.13%,4.49%,6.10%,6.10%,6.10%,19.04,85.16,27.91,0.37,5.90,#DIV/0!,#DIV/0!,152.20,4.39,56.70
172,14,2016,Tyler Ervin,Outlier,6.29,47.40,-0.73,San Jose State,7,10/7/93,31.99,RS SR,22.57,JITTERBUG,#DIV/0!,70,192,27.55,4.41,4,2.73%,8.24%,0.41%,25.01%,36.88%,36.88%,23.97%,10.01%,11.52%,11.52%,7.49%,20.92,101.53,27.55,0.19,5.64,#DIV/0!,#DIV/0!,63.30,3.06,43.60
173,11,2015,Karlos Williams,Outlier,6.28,47.00,-0.73,Florida State,4,5/4/93,32.42,SR,21.99,FREAK,#DIV/0!,73,230,30.34,4.48,5,0.00%,0.00%,0.00%,10.91%,17.94%,17.94%,16.14%,2.22%,7.28%,7.28%,6.55%,21.34,114.19,30.34,0.15,8.02,#DIV/0!,#DIV/0!,37.20,2.66,25.10
174,21,2025,Woody Marks,Outlier,6.27,46.70,-0.73,USC,2,12/29/00,24.76,RS SR,24.34,BELL CALF,#DIV/0!,70,207,29.70,4.54,4,15.29%,16.12%,18.45%,25.02%,27.71%,27.71%,27.71%,10.21%,9.16%,9.69%,9.69%,19.69,97.45,29.70,0.17,5.72,#DIV/0!,#DIV/0!,52.70,3.04,37.60
175,16,2022,Jerome Ford,Outlier,6.26,46.40,-0.74,Cincinnati,6,9/12/99,26.06,SR,22.64,DYNAMIC,#DIV/0!,71,210,29.29,4.46,5,0.00%,0.46%,1.87%,11.84%,26.40%,26.40%,19.80%,2.14%,6.51%,6.51%,4.89%,21.99,106.15,29.29,0.30,6.60,#DIV/0!,#DIV/0!,131.50,4.63,66.30
176,15,2016,Kelvin Taylor,Outlier,6.24,46.10,-0.74,Florida,1,9/28/93,32.02,JR,22.59,BELL CALF,#DIV/0!,70,207,29.70,4.6,6,0.00%,0.00%,19.12%,12.63%,25.21%,25.21%,25.21%,-0.37%,5.42%,5.42%,5.42%,19.94,92.46,29.70,0.19,4.87,#DIV/0!,#DIV/0!,53.80,2.52,35.40
177,14,2018,Justin Jackson,Outlier,6.21,45.80,-0.76,Northwestern,2,4/22/96,29.45,SR,22.02,DYNAMIC,#DIV/0!,70,199,28.55,4.52,7,0.00%,32.74%,37.18%,33.67%,29.81%,33.50%,33.50%,6.87%,9.08%,9.08%,9.08%,18.37,95.35,28.55,0.21,5.10,#DIV/0!,#DIV/0!,73.50,3.60,45.50
178,12,2015,Josh Robinson,Outlier,6.15,45.50,-0.78,Mississippi State,1,8/24/92,33.12,JR,22.69,BELL CALF,#DIV/0!,68,217,32.99,4.70,6,0.00%,0.00%,7.48%,10.25%,23.73%,23.73%,23.73%,4.66%,10.14%,10.14%,10.14%,22.04,88.94,32.99,0.25,6.39,#DIV/0!,#DIV/0!,94.20,3.54,44.50
179,16,2019,Qadree Ollison,Outlier,6.14,45.20,-0.79,Pitt,4,9/8/96,29.07,SR,22.64,BRUISER,#DIV/0!,72,228,30.92,4.58,5,0.00%,24.53%,2.84%,13.47%,24.71%,24.71%,22.24%,7.43%,3.32%,5.38%,4.84%,18.99,103.63,30.92,0.18,6.30,#DIV/0!,#DIV/0!,68.80,3.92,51.60
180,22,2025,Donovan Edwards,Outlier,6.12,44.90,-0.80,Michigan,2,2/25/03,22.60,JR,22.18,DYNAMIC,#DIV/0!,71,205,28.59,4.44,0,0.00%,9.01%,23.74%,12.99%,19.56%,21.65%,21.65%,7.77%,5.16%,6.47%,6.47%,19.54,105.50,28.59,0.22,4.66,#DIV/0!,#DIV/0!,72.10,3.70,53.10
181,17,2023,Chris Rodriguez Jr.,Outlier,6.11,44.60,-0.80,Kentucky,1,9/26/00,25.02,RS SR,22.60,BELL COW,#DIV/0!,72,217,29.43,4.55,6,0.92%,10.56%,22.78%,26.02%,22.39%,24.20%,24.20%,2.08%,1.51%,1.80%,1.80%,19.94,101.26,29.43,0.36,6.10,#DIV/0!,#DIV/0!,142.90,3.94,46.60
182,17,2022,Keaontay Ingram,Outlier,6.07,44.30,-0.82,USC,5,10/26/99,25.94,SR,22.52,BELL COW,#DIV/0!,72,221,29.97,4.53,6,0.00%,16.81%,18.00%,7.30%,20.03%,20.03%,17.03%,3.68%,4.36%,4.36%,3.70%,18.86,104.96,29.97,0.27,5.80,#DIV/0!,#DIV/0!,105.90,3.71,39.70
183,18,2024,Keilan Robinson,Outlier,6.06,44.00,-0.82,Texas,3,2/16/00,25.63,RS SR,24.21,JITTERBUG,#DIV/0!,68,191,29.04,4.42,5,6.21%,0.00%,17.07%,5.46%,3.32%,10.19%,9.18%,6.98%,1.61%,4.30%,3.87%,21.55,100.09,29.04,0.50,11.17,#DIV/0!,#DIV/0!,197.10,3.76,60.20
184,16,2016,Josh Ferguson,Outlier,6.06,43.70,-0.82,Illinois,2,5/23/93,32.37,RS SR,22.95,JITTERBUG,#DIV/0!,69,198,29.24,4.48,0,6.18%,18.98%,25.66%,24.36%,29.51%,29.51%,29.51%,13.15%,12.87%,13.01%,13.01%,19.29,98.31,29.24,0.20,5.49,#DIV/0!,#DIV/0!,69.20,3.02,48.20
185,19,2024,Blake Watson,Outlier,6.05,43.40,-0.83,Memphis,6,10/14/99,25.97,SR,24.55,DYNAMIC,#DIV/0!,69,195,28.80,4.55,0,6.45%,0.00%,28.56%,33.07%,27.41%,30.24%,22.68%,11.55%,12.12%,12.12%,9.09%,21.90,91.00,28.79,0.38,6.00,#DIV/0!,#DIV/0!,177.30,4.57,46.50
186,15,2020,La'mical Perine,Outlier Lite,5.93,43.10,-0.88,Florida,1,1/30/98,27.68,SR,22.24,BELL CALF,#DIV/0!,70,216,30.99,4.62,4,0.00%,13.06%,17.10%,17.92%,16.90%,17.41%,17.41%,6.12%,6.91%,6.91%,6.91%,19.60,94.82,30.99,0.21,6.10,#DIV/0!,#DIV/0!,69.10,3.73,39.40
187,13,2015,Matt Jones,Outlier Lite,5.92,42.80,-0.88,Florida,1,3/7/93,32.58,JR,22.15,BRUISER,#DIV/0!,74,231,29.66,4.61,3,0.00%,0.00%,7.10%,22.99%,21.81%,22.40%,22.40%,2.93%,3.28%,3.28%,3.28%,20.50,102.29,29.66,0.17,5.29,#DIV/0!,#DIV/0!,44.80,2.73,34.10
188,18,2022,Kevin Harris,Outlier Lite,5.91,42.50,-0.89,South Carolina,1,11/17/00,24.88,JR,21.46,BELL CALF,#DIV/0!,70,221,31.71,4.62,6,0.00%,0.00%,4.59%,36.52%,16.96%,26.74%,26.74%,8.49%,3.40%,5.95%,5.95%,19.81,97.02,31.71,0.20,6.20,#DIV/0!,#DIV/0!,70.70,3.31,47.20
189,23,2025,Tahj Brooks,Outlier Lite,5.89,42.20,-0.89,Texas Tech,3,5/13/00,25.39,RS SR,24.97,BELL CALF,#DIV/0!,69,214,31.60,4.52,6,7.37%,16.86%,14.32%,32.17%,33.62%,33.62%,30.26%,2.40%,6.10%,6.10%,5.49%,21.32,102.54,31.60,0.33,5.30,#DIV/0!,#DIV/0!,107.90,3.42,38.90
190,16,2017,Wayne Gallman,Outlier Lite,5.88,41.80,-0.90,Clemson,4,10/1/94,31.01,JR,22.59,BELL COW,#DIV/0!,72,215,29.16,4.6,4,0.00%,0.00%,16.52%,22.31%,16.86%,19.59%,17.63%,4.55%,2.85%,3.70%,3.33%,19.93,96.04,29.16,0.24,5.40,#DIV/0!,#DIV/0!,82.00,3.32,35.20
191,14,2015,David Cobb,Outlier Lite,5.86,41.50,-0.91,Minnesota,2,6/3/93,32.34,SR,21.91,BRUISER,#DIV/0!,71,229,31.94,4.81,5,0.00%,0.00%,0.00%,31.96%,38.47%,38.47%,38.47%,6.86%,8.79%,8.79%,8.79%,20.26,85.56,31.94,0.20,5.21,#DIV/0!,#DIV/0!,59.50,3.10,30.70
192,20,2024,Carson Steele,Outlier Lite,5.85,41.20,-0.91,UCLA,5,10/21/02,22.95,JR,21.53,BELL COW,#DIV/0!,73,215,28.37,4.55,0,0.00%,0.00%,15.45%,23.88%,19.67%,21.78%,18.51%,6.05%,5.93%,5.99%,5.09%,18.87,100.33,28.36,0.25,5.29,#DIV/0!,#DIV/0!,132.60,4.02,38.20
193,19,2022,Tyrion Davis-Price,Outlier Lite,5.84,40.90,-0.91,LSU,1,10/23/00,24.95,JR,21.53,DYNAMIC,#DIV/0!,72,211,28.62,4.48,3,0.00%,0.00%,4.32%,11.36%,22.53%,22.53%,22.53%,1.51%,1.93%,1.93%,1.93%,20.88,104.76,28.61,0.18,4.80,#DIV/0!,#DIV/0!,54.50,3.03,27.30
194,24,2025,Brashard Smith,Outlier Lite,5.81,40.60,-0.93,SMU,3,4/11/03,22.48,RS JR,22.06,JITTERBUG,#DIV/0!,68,194,29.50,4.39,7,0.00%,4.11%,7.86%,7.63%,27.65%,27.65%,24.89%,8.49%,9.19%,9.19%,8.27%,21.42,104.47,29.49,0.22,5.72,#DIV/0!,#DIV/0!,77.10,3.34,86.40
195,17,2017,Chris Carson,Outlier Lite,5.73,40.30,-0.96,Okahoma State,3,9/16/94,31.05,SR,22.63,BELL CALF,#DIV/0!,70,218,31.28,4.58,7,0.00%,0.00%,0.00%,11.11%,15.31%,15.31%,13.78%,3.70%,4.39%,4.39%,3.95%,21.99,99.09,31.28,0.37,6.70,#DIV/0!,#DIV/0!,145.80,4.00,46.20
196,13,2026,Kanye Udoh,Outlier Lite,5.70,40.00,-0.97,Arizona State,3,6/1/05,20.34,JR,20.92,FREAK,SLASHER,73,220,29.03,4.50,0,0.00%,0.00%,16.86%,22.49%,11.23%,16.86%,15.17%,0.29%,1.14%,1.14%,1.02%,18.27,107.30,29.02,0.28,6.21,#DIV/0!,#DIV/0!,76.10,3.46,37.90
197,25,2025,LeQuint Allen,Outlier Lite,5.69,39.40,-0.98,Syracuse,4,8/5/04,21.16,JR,20.74,DYNAMIC,#DIV/0!,72,204,27.67,4.5,7,0.00%,0.00%,8.14%,28.77%,25.53%,27.15%,24.44%,9.67%,11.00%,11.00%,9.90%,19.09,99.50,27.66,0.23,4.49,#DIV/0!,#DIV/0!,63.70,3.00,28.00
197,17,2019,Darwin Thompson,Outlier Lite,5.69,39.40,-0.98,Utah State,7,2/12/97,28.64,JR,22.21,BELL CALF,#DIV/0!,68,201,30.56,4.55,6,0.00%,0.00%,0.00%,0.00%,21.82%,21.82%,16.37%,0.00%,9.59%,9.59%,7.20%,21.56,93.80,30.56,0.31,6.90,#DIV/0!,#DIV/0!,173.70,5.07,50.50
199,26,2025,Antario Brown,Outlier Lite,5.69,39.10,-0.98,Northern Illinois,9,12/29/02,22.76,SR,22.34,BELL CALF,#DIV/0!,70,219,31.42,4.55,0,0.00%,22.02%,18.65%,28.07%,24.98%,26.53%,17.24%,2.11%,14.29%,14.29%,9.29%,18.68,102.19,31.42,0.23,6.13,#DIV/0!,#DIV/0!,82.20,3.26,50.70
200,20,2022,Pierre Strong Jr.,Outlier Lite,5.66,38.80,-0.99,South Dakota State,11,12/10/98,26.82,SR,23.40,DYNAMIC,#DIV/0!,71,207,28.87,4.37,4,0.00%,19.17%,23.13%,17.24%,27.51%,27.51%,15.13%,7.74%,4.37%,6.06%,3.33%,19.74,113.52,28.87,0.27,7.10,#DIV/0!,#DIV/0!,81.00,3.39,54.30
201,27,2025,Montrell Johnson Jr.,Outlier Lite,5.66,38.50,-0.99,Florida,1,10/13/02,22.97,SR,22.55,FREAK,#DIV/0!,71,216,30.13,4.41,0,0.00%,15.47%,16.31%,21.45%,16.93%,19.19%,19.19%,7.59%,2.84%,5.21%,5.21%,18.90,114.22,30.12,0.27,5.91,#DIV/0!,#DIV/0!,86.00,3.53,52.40
202,14,2026,CJ Baxter,Outlier Lite,5.63,38.20,-1.01,Texas,1,6/28/05,20.26,RS SO,20.84,FREAK,+RECEIVER,73,230,30.34,4.50,4,0.00%,0.00%,13.10%,0.00%,13.67%,13.67%,13.67%,3.94%,3.66%,3.80%,3.80%,N/A,112.18,30.34,0.21,4.78,#DIV/0!,#DIV/0!,63.40,3.25,16.40
203,21,2022,Jaylen Warren,Outlier Lite,5.63,37.90,-1.01,Oklahoma State,3,11/1/98,26.92,RS SR,23.50,BELL CALF,#DIV/0!,68,204,31.02,4.55,0,0.00%,0.00%,13.38%,16.25%,24.70%,24.70%,22.23%,3.44%,6.99%,6.99%,6.29%,21.86,95.20,31.01,0.33,5.90,#DIV/0!,#DIV/0!,106.90,4.00,57.70
204,15,2018,Mark Walton,Outlier Lite,5.62,37.30,-1.01,Miami,4,3/29/97,28.52,JR,21.09,BELL CALF,#DIV/0!,70,202,28.98,4.6,4,0.00%,0.00%,14.74%,24.51%,9.88%,17.19%,15.47%,6.73%,2.89%,4.81%,4.33%,19.44,90.23,28.98,0.17,7.60,#DIV/0!,#DIV/0!,61.10,3.43,56.90
204,21,2024,Emani Bailey,Outlier Lite,5.62,37.30,-1.01,TCU,3,11/28/01,23.85,RS JR,22.43,BELL CALF,#DIV/0!,67,202,31.64,4.61,0,0.00%,4.74%,17.46%,11.55%,24.91%,24.91%,22.42%,1.26%,4.91%,4.91%,4.42%,19.77,89.45,31.63,0.31,8.00,#DIV/0!,#DIV/0!,117.10,3.68,57.50
206,18,2019,Mike Weber,Outlier Lite,5.56,37.00,-1.03,Ohio State,2,8/25/97,28.11,RS JR,21.68,DYNAMIC,#DIV/0!,70,211,30.28,4.47,7,0.00%,0.00%,19.92%,10.07%,14.19%,17.06%,17.06%,2.56%,2.16%,2.36%,2.36%,19.03,105.70,30.27,0.26,6.20,#DIV/0!,#DIV/0!,75.80,3.65,40.90
207,22,2024,Frank Gore Jr.,Outlier Lite,5.53,36.60,-1.05,Southern Miss,8,3/13/02,23.56,SR,22.14,BELL CALF,#DIV/0!,68,201,30.56,4.55,0,0.00%,21.61%,29.26%,35.25%,31.66%,33.45%,21.75%,8.15%,9.79%,9.79%,6.36%,18.48,93.80,30.56,0.37,6.07,#DIV/0!,#DIV/0!,149.40,4.17,46.70
208,22,2022,Zonovan Knight,Outlier Lite,5.52,36.00,-1.05,NC State,4,4/11/01,24.48,JR,21.06,BELL COW,#DIV/0!,71,209,29.15,4.58,0,0.00%,0.00%,17.29%,19.98%,18.23%,19.11%,17.20%,4.31%,4.51%,4.51%,4.06%,18.40,95.00,29.15,0.35,5.50,#DIV/0!,#DIV/0!,113.00,3.80,48.80
208,23,2024,Kimani Vidal,Outlier Lite,5.52,36.00,-1.05,Troy,8,8/28/01,24.10,SR,22.68,DYNAMIC,#DIV/0!,68,213,32.39,4.46,6,0.00%,20.80%,22.27%,16.53%,31.69%,31.69%,20.60%,3.94%,5.37%,5.37%,3.49%,19.02,107.66,32.38,0.31,5.60,#DIV/0!,#DIV/0!,116.70,3.58,37.60
210,24,2024,Miyan Williams,Outlier Lite,5.50,35.70,-1.06,Ohio State,2,10/29/01,23.93,RS JR,22.51,BRUISER,#DIV/0!,68,229,34.82,4.55,0,0.00%,3.08%,10.34%,15.78%,8.17%,11.98%,11.98%,0.82%,2.60%,2.60%,2.60%,20.87,106.86,34.82,0.38,6.45,#DIV/0!,#DIV/0!,157.60,4.37,38.10
211,15,2015,Cameron Artis-Payne,Outlier Lite,5.49,35.40,-1.06,Auburn,1,6/23/90,35.29,SR,24.86,BELL CALF,#DIV/0!,70,212,30.42,4.53,5,0.00%,0.00%,0.00%,9.42%,27.66%,27.66%,27.66%,0.18%,4.93%,4.93%,4.93%,24.21,100.69,30.42,0.21,6.70,#DIV/0!,#DIV/0!,60.50,2.93,32.40
212,18,2017,Jamaal Williams,Outlier Lite,5.45,35.10,-1.08,BYU,6,4/3/95,30.51,SR,22.08,BELL COW,#DIV/0!,72,211,28.62,4.53,4,20.95%,21.16%,9.39%,0.00%,27.85%,27.85%,19.50%,0.00%,2.88%,2.88%,2.01%,17.42,100.21,28.61,0.24,5.80,#DIV/0!,#DIV/0!,77.70,3.31,43.30
213,12,2021,Elijah Mitchell,Outlier Lite,5.41,34.80,-1.10,ULL,8,5/2/98,27.42,SR,23.01,JITTERBUG,#DIV/0!,70,201,28.84,4.35,6,0.00%,5.90%,22.26%,17.59%,22.04%,22.15%,14.40%,2.11%,6.67%,6.67%,4.34%,20.35,112.27,28.84,0.29,6.20,#DIV/0!,#DIV/0!,125.10,4.59,50.10
214,15,2026,Roman Hemby,Outlier Lite,5.39,34.50,-1.11,Indiana,2,8/16/02,23.13,RS SR,21.71,BELL COW,+RECEIVER,72,200,27.12,4.55,0,5.43%,24.96%,20.36%,18.99%,13.15%,19.06%,19.06%,8.25%,3.99%,6.12%,6.12%,18.06,93.33,27.12,0.33,5.50,#DIV/0!,#DIV/0!,147.40,3.76,39.80
215,16,2015,Jeremy Langford,Outlier Lite,5.38,34.20,-1.11,Michigan State,2,12/6/91,33.83,SR,23.41,DYNAMIC,#DIV/0!,72,208,28.21,4.42,4,0.00%,0.00%,0.00%,29.26%,24.36%,26.81%,26.81%,6.45%,1.82%,4.14%,4.14%,21.75,108.99,28.21,0.12,5.54,#DIV/0!,#DIV/0!,36.70,2.92,38.30
