Rank,Class Rk,Year,Player Name,Tier,TE Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Height,Weight,BMI,40 Time,Draft,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,BOUT,Y/RR,Y/REC,YAC/R,aDOT,EPA/P,aYPTPA,CC%,Drop %,Speed,HaSS
176,18,2022,Ko Kieft,Purgatory,3.80,17.70,-1.91,Minnesota,2,1/20/98,27.70,SR,24.28,76,259,31.53,4.98,6,6.74%,9.10%,0.00%,14.57%,12.47%,13.52%,13.52%,N/A,1.38,#DIV/0!,6.00,13.00,0.00,0.00,0.00,0.0%,84.22,88.55
177,17,2023,Jahleel Billingsley,Purgatory,3.79,17.20,-1.92,Texas,3,5/17/01,24.38,SR,21.96,76,220,26.78,4.57,0,0.00%,1.56%,11.45%,7.57%,3.94%,7.69%,7.31%,N/A,2.53,#DIV/0!,5.00,8.80,0.00,0.00,0.00,25.0%,100.88,106.07
178,14,2020,Stephen Sullivan,Purgatory,3.76,16.80,-1.93,LSU,1,11/28/96,28.85,SR,23.42,77,248,29.41,4.66,7,0.00%,0.00%,13.45%,15.89%,5.40%,10.64%,10.64%,21.77,1.92,#DIV/0!,4.20,16.70,0.00,0.00,0.00,0.0%,105.18,112.78
179,19,2025,CJ Dippre,Purgatory,3.76,16.30,-1.93,Alabama,1,4/29/02,23.43,SR,23.01,77,256,30.36,4.7,0,0.00%,0.68%,9.96%,6.06%,8.27%,9.11%,9.11%,N/A,1.26,12.10,8.80,4.50,0.00,0.00,0.00,12.5%,104.92,112.51
180,19,2017,Michael Roberts,Purgatory,3.73,15.80,-1.94,Toledo,9,5/7/94,31.41,SR,22.99,76,270,32.87,4.86,4,0.00%,0.00%,13.88%,8.44%,12.70%,13.29%,9.30%,N/A,1.47,#DIV/0!,4.40,15.10,0.00,0.00,0.00,6.3%,96.79,101.77
181,18,2023,Davis Allen,Purgatory,3.70,15.40,-1.95,Clemson,4,2/3/01,24.66,SR,22.24,78,245,28.31,4.84,5,0.00%,3.68%,6.44%,9.07%,13.62%,13.62%,12.93%,N/A,1.57,#DIV/0!,5.00,9.10,0.00,0.00,0.00,2.5%,89.29,97.62
182,20,2025,Bryson Nesbit,Purgatory,3.67,14.90,-1.97,North Carolina,4,9/25/02,23.02,SR,22.60,77,238,28.22,4.89,0,0.00%,5.48%,11.71%,16.29%,16.81%,16.81%,15.97%,20.94,1.90,11.00,4.90,11.90,0.00,0.00,0.00,17.2%,83.25,89.26
183,14,2018,Deon Yelder,Purgatory,3.62,14.40,-1.99,Western Kentucky,10,3/6/95,30.58,SR,23.16,76,255,31.04,4.72,7,0.00%,0.00%,0.00%,0.00%,17.24%,17.24%,12.07%,22.52,1.57,#DIV/0!,4.20,12.00,0.00,0.00,0.00,10.2%,102.75,108.04
184,17,2024,Max Wright,Purgatory,3.57,14.00,-2.01,Texas A&M,1,12/16/99,25.80,RS SR,24.38,76,260,31.65,4.74,0,0.00%,0.00%,1.00%,7.35%,7.02%,7.18%,7.18%,N/A,1.44,14.33,8.60,5.30,0.00,0.00,0.00,0.0%,103.01,108.31
185,21,2025,Robbie Ouzts,Purgatory,3.52,13.50,-2.03,Alabama,1,9/6/02,23.76,SR,22.65,75,274,34.25,4.91,5,0.00%,0.22%,1.17%,1.07%,3.51%,3.51%,3.51%,N/A,1.46,13.50,6.70,9.90,0.00,0.00,0.00,0.0%,94.29,97.19
186,14,2021,Brock Wright,Purgatory,3.50,13.00,-2.04,Notre Dame,2,11/27/98,26.85,SR,22.44,76,257,31.28,4.62,0,0.00%,0.00%,1.55%,5.95%,2.95%,4.45%,4.45%,N/A,0.85,#DIV/0!,13.50,15.00,0.00,0.00,0.00,25.0%,112.82,118.63
187,22,2025,Caden Prieskorn,Purgatory,3.41,12.60,-2.07,Ole Miss,1,9/21/99,26.04,SR,25.62,78,246,28.43,4.77,0,2.68%,1.28%,16.59%,15.72%,8.79%,12.69%,12.69%,22.97,1.64,14.85,6.20,11.40,0.00,0.00,0.00,3.6%,95.04,103.90
188,12,2015,Jesse James,Purgatory,3.41,12.10,-2.08,Penn State,2,6/4/94,31.34,JR,20.91,79,264,29.74,4.83,5,0.00%,0.00%,10.09%,12.85%,13.05%,13.05%,13.05%,N/A,0.99,10.42,4.00,7.50,0.00,0.00,0.13,9701.6%,108.11,3.00
189,18,2024,Dallin Holker,Purgatory,3.24,11.60,-2.15,Colorado State,7,4/7/00,25.49,RS JR,24.07,75,241,30.12,4.78,0,0.00%,0.00%,5.88%,11.48%,20.83%,20.83%,15.83%,23.40,1.72,11.97,5.90,8.90,0.00,0.00,0.00,0.0%,92.33,95.17
190,23,2025,Jake Briningstool,Purgatory,3.21,11.20,-2.16,Clemson,4,12/9/02,22.82,SR,22.40,77,241,28.58,4.75,0,0.00%,4.38%,8.73%,16.77%,14.67%,15.72%,14.93%,20.73,1.28,10.84,5.00,7.60,0.00,0.00,0.00,7.5%,94.68,101.53
191,13,2015,Malcolm Johnson,Purgatory,3.14,10.70,-2.18,Mississippi State,1,8/11/92,33.15,SR,22.72,73,231,30.48,4.78,6,0.00%,10.30%,8.99%,13.33%,10.41%,11.87%,11.87%,N/A,1.35,13.57,5.40,10.40,0.00,0.00,0.00,8849.7%,87.60,2.00
192,18,2019,Dax Raymond,Purgatory,3.04,10.20,-2.23,Utah State,7,11/30/94,30.85,JR,24.42,77,255,30.24,4.73,0,0.00%,7.01%,0.00%,16.70%,11.66%,14.18%,10.78%,22.77,1.41,#DIV/0!,6.30,8.60,0.00,0.00,0.00,10.0%,101.89,109.25
193,15,2020,Tyler Davis,Purgatory,2.86,9.80,-2.30,Georgia Tech,4,4/2/97,28.51,RS SR,23.07,76,250,30.43,4.71,6,0.00%,8.80%,8.28%,14.04%,10.05%,12.04%,11.44%,N/A,1.45,#DIV/0!,4.40,8.50,0.00,0.00,0.00,5.6%,101.60,106.83
194,15,2018,Dalton Schultz,Purgatory,2.86,9.30,-2.30,Stanford,5,7/11/96,29.23,SR,21.81,77,244,28.93,4.75,4,0.00%,0.00%,5.76%,11.38%,9.95%,10.67%,10.13%,N/A,0.82,#DIV/0!,4.00,7.70,0.00,0.00,0.00,0.0%,95.86,102.79
195,16,2018,Austin Roberts,Purgatory,2.83,8.80,-2.31,UCLA,5,12/3/95,29.84,JR,22.41,74,230,29.53,4.68,0,0.00%,0.00%,6.58%,11.04%,7.98%,9.51%,9.03%,N/A,1.76,#DIV/0!,9.10,11.20,0.00,0.00,0.00,17.4%,95.89,96.87
196,20,2017,Cethan Carter,Purgatory,2.80,8.40,-2.33,Nebraska,2,9/5/95,30.08,SR,21.66,75,241,30.12,4.68,0,0.00%,9.22%,11.55%,12.33%,9.97%,12.33%,12.33%,N/A,1.21,#DIV/0!,10.00,10.30,0.00,0.00,0.00,29.6%,100.48,103.57
197,22,2026,Garrett Oakley,Purgatory,2.75,7.90,-2.35,Kansas State,3,11/30/03,21.84,JR,22.42,77,235,27.87,4.65,0,0.00%,0.00%,6.38%,8.59%,12.93%,12.93%,12.28%,N/A,1.39,10.73,6.60,4.10,0.00,0.00,0.14,10052.8%,107.79,2.00
198,14,2015,Gerald Christian,Purgatory,2.53,7.40,-2.44,Louisville,4,8/26/91,34.11,SR,23.68,75,250,31.25,4.87,7,0.00%,5.54%,0.00%,11.31%,12.18%,12.18%,11.57%,N/A,1.47,12.09,5.60,7.40,0.00,0.00,0.02,8889.0%,91.63,2.00
199,8,2016,Bryce Williams,Purgatory,2.32,7.00,-2.52,East Carolina,8,2/24/93,32.61,SR,23.19,78,258,29.81,4.94,0,0.00%,0.00%,6.71%,4.90%,17.42%,17.42%,13.24%,22.53,1.40,10.12,7.10,9.90,0.00,0.00,0.07,8664.5%,94.72,3.00
200,24,2025,Jackson Hawes,Purgatory,2.27,6.50,-2.55,Georgia Tech,4,12/6/00,24.82,SR,24.41,76,253,30.80,4.83,5,0.00%,5.43%,7.86%,5.09%,6.84%,7.35%,6.98%,N/A,1.01,12.19,8.20,4.30,0.00,0.00,0.00,11.1%,92.97,97.76
201,15,2015,Randall Telfer,Purgatory,2.24,6.00,-2.56,USC,5,5/16/92,33.39,SR,22.96,76,250,30.43,4.87,6,0.00%,7.73%,2.95%,6.87%,5.13%,6.43%,6.11%,N/A,2.06,9.43,4.90,7.00,0.00,0.00,0.13,8889.0%,93.46,0.00
202,19,2019,Kendall Blanton,Purgatory,2.20,5.10,-2.57,Missouri,1,11/10/95,29.90,SR,23.47,78,262,30.28,4.95,0,0.00%,0.00%,7.79%,8.94%,6.34%,7.64%,7.64%,N/A,1.30,#DIV/0!,13.30,11.50,0.00,0.00,0.00,12.0%,87.28,95.42
202,16,2020,Charlie Woerner,Purgatory,2.20,5.10,-2.57,Georgia,1,10/16/97,27.97,SR,22.53,77,244,28.93,4.78,6,0.00%,5.17%,9.42%,7.25%,5.00%,7.21%,7.21%,N/A,1.33,#DIV/0!,6.50,8.90,0.00,0.00,0.00,10.0%,93.48,100.23
204,16,2015,Geoff Swaim,Purgatory,2.14,4.60,-2.60,Texas,3,9/16/93,32.05,SR,21.62,76,260,31.65,4.61,7,0.00%,0.00%,0.00%,2.20%,2.69%,2.69%,2.56%,N/A,0.29,7.00,2.80,10.70,0.00,0.00,0.09,11513.3%,121.06,0.00
205,17,2020,Thaddeus Moss,Purgatory,2.13,4.20,-2.60,LSU,1,5/14/98,27.39,JR,21.96,74,250,32.10,4.73,0,0.00%,3.76%,0.00%,0.00%,11.83%,11.83%,11.83%,N/A,1.21,#DIV/0!,5.40,7.70,0.00,0.00,0.00,0.0%,99.89,100.91
206,9,2016,Henry Krieger-Coble,Purgatory,1.98,3.70,-2.67,Iowa,2,6/12/92,33.32,SR,23.89,76,246,29.94,4.91,0,0.00%,1.78%,0.00%,1.18%,14.26%,14.26%,14.26%,N/A,1.26,11.66,6.30,8.00,0.00,0.00,0.08,8465.2%,89.01,3.00
207,17,2015,Ben Koyack,Purgatory,1.94,3.20,-2.68,Notre Dame,2,4/9/93,32.49,SR,22.06,77,258,30.59,4.79,7,0.00%,0.16%,1.42%,13.42%,8.41%,10.91%,10.91%,N/A,0.73,10.57,4.40,7.80,0.00,0.00,0.06,9801.8%,105.10,1.00
208,18,2015,EJ Bibbs,Purgatory,1.93,2.80,-2.69,Iowa State,3,8/28/91,34.11,RS JR,23.68,75,260,32.50,4.8,0,0.00%,0.00%,0.00%,17.57%,15.38%,16.47%,15.65%,22.02,1.04,8.49,3.80,6.40,0.00,0.00,0.10,9795.8%,100.97,4.00
209,10,2016,Kyle Carter,Purgatory,1.07,2.30,-3.04,Penn State,2,12/17/92,32.80,SR,23.38,75,245,30.62,4.64,0,0.00%,0.00%,0.00%,5.04%,5.21%,5.21%,5.21%,N/A,0.70,9.57,3.70,8.80,0.00,0.00,0.13,10571.2%,108.96,0.00
210,17,2018,Ethan Wolf,Purgatory,1.05,1.80,-3.05,Tennessee,1,11/7/95,29.91,SR,22.48,78,258,29.81,4.98,0,0.00%,9.46%,12.17%,9.11%,12.87%,12.87%,12.87%,N/A,0.98,#DIV/0!,4.00,10.10,0.00,0.00,0.00,4.0%,83.89,91.72
211,23,2026,Tanner Arkin,Purgatory,1.00,1.40,-3.07,Illinois,2,7/7/03,22.24,RS SR,22.82,76,265,32.26,4.7,0,1.19%,4.91%,0.03%,4.04%,1.93%,3.42%,3.42%,N/A,0.44,6.94,3.50,4.70,0.00,0.00,0.00,10861.4%,114.20,0.00
212,18,2018,Marcus Baugh,Purgatory,0.66,0.90,-3.21,Ohio State,2,12/9/94,30.82,SR,23.39,75,247,30.87,4.81,0,0.00%,0.81%,8.47%,12.58%,8.26%,10.42%,10.42%,N/A,1.15,#DIV/0!,4.90,8.60,0.00,0.00,0.00,9.7%,92.29,95.13
213,11,2016,Jake McGee,Purgatory,0.57,0.40,-3.25,Florida,1,9/19/91,34.05,RS SR,24.62,77,250,29.65,4.84,0,0.00%,11.63%,16.95%,0.00%,14.17%,8.48%,8.48%,21.96,1.13,9.29,4.30,7.10,0.00,0.00,0.02,9111.5%,97.70,0.00
