Rank,Class Rk,Year,Player Name,Tier,RB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Class,Draft Age,Build,Type,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,BMI,MTF/A,YPC,YPR,RPT,ELU,YCO/A,Break %,DOM++,RDOM++,BOUT+,Speed+,MTF/A,YPC+,ELU+,YCO/A+,DC+,BAMA,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs,Rush Yds,Team Yds,Rush TDs,Team TD,Att,MTF,YPC,ELU,YCO/A,Break %,Rec Yds,Team Yds,Recs,Rec TDs,Team TDs
163,13,2022,Zamir White,Outlier,6.54,50.10,-0.62,Georgia,1,9/18/99,26.04,JR,22.62,DYNAMIC,PLODDER,72,214,4.4,4,0.00%,0.00%,7.49%,19.24%,12.32%,15.78%,15.78%,1.48%,1.91%,1.91%,1.91%,20.98,114.19,29.02,0.23,5.40,8.06,0.05,83.10,3.60,34.90,2.00,1.00,3.00,10.00,5.00,2.00,2.00,2.00,4.0,1.00,0,3876,0,42,0,0,0.00,0.00,0.00,0.00,0,2653,0,0,24,0,3343,0,30,0,0,0.00,0.00,0.00,0.00,0,3165,0,0,34,408,2591,3,21,78,19,5.20,94.20,3.59,16.90,20,3122,2,0,26,779,1742,11,18,144,27,5.40,51.90,2.78,34.90,37,2499,6,0,19,859,3779,11,29,161,37,5.30,83.10,3.60,25.00,72,3778,8,0,39
164,9,2015,Javorius Allen,Outlier,6.48,49.50,-0.64,USC,5,8/27/91,34.11,JR,23.68,BELL COW,PLODDER,72,221,4.53,4,0.00%,0.00%,0.00%,19.99%,32.68%,32.68%,27.78%,8.54%,12.01%,12.01%,10.21%,22.03,104.96,29.97,0.16,5.81,11.17,0.13,41.00,2.60,35.70,7.00,9.00,1.00,7.00,2.00,4.00,0.00,0.00,4.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,785,2236,14,0,135,0,5.81,0.00,0.00,0.00,252,2952,22,1,0,1481,2093,11,18,275,44,5.39,41.00,2.60,35.70,463,3856,42,1,39
164,15,2019,Justice Hill,Outlier,6.48,49.50,-0.64,Oklahoma State,3,11/14/97,27.89,JR,21.46,JITTERBUG,PLODDER,70,198,4.4,4,0.00%,0.00%,18.41%,22.44%,15.35%,18.90%,17.01%,3.81%,1.71%,2.76%,2.49%,18.81,105.65,28.41,0.22,5.90,6.29,0.08,64.20,3.31,44.90,3.00,2.00,9.00,8.00,4.00,4.00,1.00,1.00,4.0,0.00,0,1776,0,18,0,0,0.00,0.00,0.00,0.00,0,3149,0,0,19,0,1649,0,25,0,0,0.00,0.00,0.00,0.00,0,4591,0,0,35,1138,2221,6,32,205,33,5.60,53.60,3.31,43.20,46,4211,5,0,29,1467,2337,15,34,268,50,5.50,59.80,3.19,44.90,193,5059,31,0,37,929,2474,9,30,158,34,5.90,64.20,2.68,43.90,69,4028,13,0,33
166,14,2022,Tyler Goodson,Outlier,6.44,49.20,-0.66,Iowa,2,11/10/00,24.90,JR,21.48,JITTERBUG,+RECEIVER,69,197,4.42,0,0.00%,0.00%,16.87%,31.13%,32.81%,32.81%,32.81%,9.23%,9.80%,9.80%,9.80%,18.82,103.23,29.09,0.23,5.40,7.96,0.11,67.00,3.41,42.70,8.00,9.00,9.00,6.00,5.00,2.00,1.00,1.00,0.0,0.00,0,1810,0,17,0,0,0.00,0.00,0.00,0.00,0,2473,0,0,27,0,1929,0,19,0,0,0.00,0.00,0.00,0.00,0,2946,0,0,27,640,1789,5,17,135,29,4.70,67.00,3.41,40.90,164,2976,23,0,16,772,1368,7,18,142,32,5.40,66.00,3.26,42.70,146,1581,16,0,9,1148,1731,6,18,256,38,4.50,33.60,2.30,38.60,247,2521,31,0,12
167,16,2024,Rasheen Ali,Outlier,6.41,48.90,-0.67,Marshall,6,2/16/01,24.63,SR,23.21,DYNAMIC,3DOWN,71,206,4.4,5,0.00%,2.81%,29.18%,23.71%,31.01%,31.01%,23.26%,1.74%,7.63%,7.63%,5.72%,20.55,109.92,28.73,0.26,5.81,7.48,0.11,110.50,4.51,47.50,5.00,6.00,3.00,9.00,6.00,4.00,5.00,7.00,3.0,0.00,0,1783,0,18,0,0,0.00,0.00,0.00,0.00,0,2129,0,0,19,22,357,0,3,5,1,4.40,64.00,3.20,0.00,0,426,0,0,4,1389,2110,23,38,250,58,5.56,87.10,3.53,38.90,344,3830,46,1,18,273,618,1,5,47,12,5.81,110.50,4.51,37.00,10,576,2,1,4,1127,1588,15,19,210,28,5.40,35.30,2.54,47.50,207,2714,27,1,11
168,10,2015,Jay Ajayi,Outlier,6.39,48.60,-0.68,Boise State,7,6/15/93,32.31,JR,21.88,BELL COW,PLODDER,72,221,4.57,5,0.00%,0.00%,13.05%,26.61%,33.96%,33.96%,22.07%,8.61%,13.60%,13.60%,8.84%,20.23,101.33,29.97,0.15,5.72,10.55,0.13,51.40,3.36,39.60,4.00,8.00,4.00,6.00,1.00,3.00,1.00,3.00,3.0,0.50,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,548,1850,4,0,82,0,0.00,0.00,0.00,0.00,14,2455,1,0,0,1425,3612,18,0,249,0,5.72,0.00,0.00,0.00,222,2578,22,1,0,1816,2995,28,39,348,51,5.22,51.40,3.36,39.60,534,3926,50,4,27
169,12,2026,Makhi Hughes,Outlier,6.33,48.30,-0.71,Oregon,2,6/1/04,21.34,JR,21.92,DYNAMIC,+RECEIVER,71,210,4.44,0,0.00%,0.00%,27.79%,27.92%,3.12%,15.52%,15.52%,6.14%,0.70%,3.42%,3.42%,19.27,108.07,29.29,0.27,5.34,7.84,0.08,102.20,3.87,36.70,2.00,3.00,7.00,9.00,7.00,2.00,4.00,4.00,0.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,1373,2171,7,16,257,68,5.34,102.20,3.75,36.70,67,3010,11,0,25,1403,2739,15,32,263,61,5.33,86.20,3.87,36.40,180,2931,20,2,25,37,743,0,0,11,3,3.36,61.40,2.45,0.00,4,572,1,0,0
170,17,2024,Jase McClellan,Outlier,6.29,47.70,-0.72,Alabama,1,6/25/02,23.27,SR,21.85,BELL CALF,PLODDER,70,221,4.55,6,0.00%,11.58%,11.80%,13.30%,20.10%,20.10%,20.10%,4.75%,4.85%,4.85%,4.85%,21.21,103.13,31.71,0.28,5.86,10.54,0.07,87.20,3.50,34.70,4.00,5.00,2.00,6.00,7.00,4.00,3.00,2.00,2.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,250,734,2,11,24,6,10.42,180.00,7.50,65.20,1,1433,1,0,13,191,751,1,7,40,15,4.78,127.10,3.03,35.10,97,1691,10,3,16,651,2542,7,26,111,31,5.86,86.70,3.50,34.70,174,3660,14,3,36,888,2244,8,30,181,49,4.90,87.20,3.21,32.90,139,2865,14,0,21
170,15,2022,Jerrion Ealy,Outlier,6.29,47.70,-0.72,Ole Miss,1,8/19/00,25.12,JR,21.70,DYNAMIC,+RECEIVER,69,189,4.59,0,0.00%,0.00%,16.69%,16.20%,15.56%,16.13%,16.13%,4.49%,6.10%,6.10%,6.10%,19.04,85.16,27.91,0.37,5.90,8.01,0.20,152.20,4.39,56.70,2.00,6.00,8.00,1.00,9.00,4.00,8.00,6.00,0.0,0.25,0,2293,0,35,0,0,0.00,0.00,0.00,0.00,0,3580,0,0,17,0,1858,0,27,0,0,0.00,0.00,0.00,0.00,0,4071,0,0,25,720,3015,6,16,103,38,7.00,152.20,4.39,56.70,172,2328,21,0,16,745,2106,9,22,147,40,5.10,81.30,3.14,28.70,155,3449,15,0,30,778,2829,5,33,132,45,5.90,131.40,4.14,47.20,218,3573,32,0,21
172,14,2016,Tyler Ervin,Outlier,6.29,47.40,-0.73,San Jose State,7,10/7/93,31.99,RS SR,22.57,JITTERBUG,+RECEIVER,70,192,4.41,4,2.73%,8.24%,0.41%,25.01%,36.88%,36.88%,23.97%,10.01%,11.52%,11.52%,7.49%,20.92,101.53,27.55,0.19,5.64,8.95,0.14,63.30,3.06,43.60,5.00,7.00,3.00,6.00,5.00,3.00,4.00,3.00,4.0,0.00,107,1222,1,17,0,0,0.00,0.00,0.00,0.00,17,3322,3,0,13,205,1022,1,12,0,0,0.00,0.00,0.00,0.00,126,2994,10,1,24,2,137,0,1,0,0,0.00,0.00,0.00,0.00,0,356,0,0,3,880,1696,4,11,156,29,5.64,63.30,3.06,43.60,304,3038,28,1,16,1608,2378,13,23,293,43,5.49,41.40,2.75,41.70,332,2882,46,2,21
173,11,2015,Karlos Williams,Outlier,6.28,47.00,-0.73,Florida State,4,5/4/93,32.42,SR,21.99,FREAK,+RECEIVER,73,230,4.48,5,0.00%,0.00%,0.00%,10.91%,17.94%,17.94%,16.14%,2.22%,7.28%,7.28%,6.55%,21.34,114.19,30.34,0.15,8.02,8.86,0.16,37.20,2.66,25.10,2.00,7.00,2.00,10.00,1.00,9.00,0.00,0.00,3.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,730,4423,11,0,91,0,8.02,0.00,0.00,0.00,63,2844,8,0,0,685,1657,12,23,150,22,4.57,37.20,2.66,25.10,265,3640,29,1,23
174,21,2025,Woody Marks,Outlier,6.27,46.70,-0.73,USC,2,12/29/00,24.76,RS SR,24.34,BELL CALF,+RECEIVER,70,207,4.54,4,15.29%,16.12%,18.45%,25.02%,27.71%,27.71%,27.71%,10.21%,9.16%,9.69%,9.69%,19.69,97.45,29.70,0.17,5.72,5.85,0.19,52.70,3.04,37.60,7.00,9.00,6.00,4.00,2.00,3.00,0.00,0.00,4.0,0.25,296,483,3,8,68,11,4.35,30.80,2.50,26.70,276,3259,62,0,17,465,822,6,10,110,19,4.23,40.10,2.28,14.20,460,4918,78,3,36,590,980,9,11,115,12,5.13,34.40,2.63,28.50,280,3734,46,0,34,573,1321,4,9,120,19,4.78,52.70,3.03,31.20,167,1636,24,2,12,1133,1744,9,19,198,34,5.72,50.80,3.04,37.60,321,3503,47,0,25
175,16,2022,Jerome Ford,Outlier,6.26,46.40,-0.74,Cincinnati,6,9/12/99,26.06,SR,22.64,DYNAMIC,3DOWN,71,210,4.46,5,0.00%,0.46%,1.87%,11.84%,26.40%,26.40%,19.80%,2.14%,6.51%,6.51%,4.89%,21.99,106.15,29.29,0.30,6.60,9.10,0.09,131.50,4.63,66.30,3.00,5.00,2.00,8.00,8.00,6.00,7.00,7.00,3.0,0.25,0,1624,0,11,0,0,0.00,0.00,0.00,0.00,0,2597,0,0,20,37,3113,0,38,7,4,5.30,163.30,2.86,40.50,0,4854,0,0,52,113,2191,3,27,24,6,4.70,92.00,3.42,32.70,11,4449,2,0,49,483,2124,8,29,73,22,6.60,131.50,4.63,66.30,51,2386,8,0,20,1307,2406,19,34,214,52,6.10,73.00,3.07,41.20,220,3377,21,0,33
176,15,2016,Kelvin Taylor,Outlier,6.24,46.10,-0.74,Florida,1,9/28/93,32.02,JR,22.59,BELL CALF,PLODDER,70,207,4.6,6,0.00%,0.00%,19.12%,12.63%,25.21%,25.21%,25.21%,-0.37%,5.42%,5.42%,5.42%,19.94,92.46,29.70,0.19,4.87,7.44,0.07,53.80,2.52,35.40,6.00,6.00,5.00,2.00,5.00,0.00,3.00,1.00,2.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,508,1312,4,11,0,0,0.00,0.00,0.00,0.00,37,1538,5,0,8,565,2252,6,22,116,20,4.87,34.10,1.91,35.40,-8,2159,2,0,18,1025,1792,13,20,258,48,3.97,53.80,2.52,32.30,157,2897,18,0,20
177,14,2018,Justin Jackson,Outlier,6.21,45.80,-0.76,Northwestern,2,4/22/96,29.45,SR,22.02,DYNAMIC,PLODDER,70,199,4.52,7,0.00%,32.74%,37.18%,33.67%,29.81%,33.50%,33.50%,6.87%,9.08%,9.08%,9.08%,18.37,95.35,28.55,0.21,5.10,7.03,0.13,73.50,3.60,45.50,9.00,9.00,10.00,3.00,4.00,1.00,1.00,2.00,1.0,0.00,0,2069,0,0,0,0,0.00,0.00,0.00,0.00,0,2726,0,0,0,1186,1639,10,0,245,64,4.80,78.70,3.13,22.10,201,2598,22,0,0,1419,2451,5,0,311,34,4.60,29.20,2.42,29.60,162,1801,21,0,0,1524,1991,15,0,298,62,5.10,73.50,3.60,45.50,219,3186,35,0,0,1305,2264,11,0,286,39,4.60,37.20,2.50,28.00,276,3040,44,0,0
178,12,2015,Josh Robinson,Outlier,6.15,45.50,-0.78,Mississippi State,1,8/24/92,33.12,JR,22.69,BELL CALF,PLODDER,68,217,4.70,6,0.00%,0.00%,7.48%,10.25%,23.73%,23.73%,23.73%,4.66%,10.14%,10.14%,10.14%,22.04,88.94,32.99,0.25,6.39,11.47,0.13,94.20,3.54,44.50,5.00,9.00,1.00,2.00,6.00,5.00,5.00,4.00,2.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,335,1730,1,0,55,0,0.00,0.00,0.00,0.00,8,2854,3,0,0,459,3131,3,0,78,0,5.88,0.00,0.00,0.00,115,2469,12,0,0,1215,3030,11,29,190,48,6.39,94.20,3.54,44.50,370,3649,28,1,31
179,16,2019,Qadree Ollison,Outlier,6.14,45.20,-0.79,Pitt,4,9/8/96,29.07,SR,22.64,BRUISER,HORSE,72,228,4.58,5,0.00%,24.53%,2.84%,13.47%,24.71%,24.71%,22.24%,7.43%,3.32%,5.38%,4.84%,18.99,103.63,30.92,0.18,6.30,7.50,0.05,68.80,3.92,51.60,4.00,5.00,8.00,7.00,2.00,5.00,1.00,4.00,3.0,0.00,0,3243,0,35,0,0,0.00,0.00,0.00,0.00,0,2417,0,0,17,1127,2430,11,19,212,19,5.30,26.40,2.84,42.70,77,2478,14,0,21,127,2926,2,36,33,4,3.80,29.00,2.03,41.70,38,2882,2,0,28,398,1782,5,21,90,15,4.40,56.20,3.02,27.10,194,2612,23,0,12,1213,3191,11,30,194,34,6.30,68.80,3.92,51.60,66,1985,11,0,12
180,22,2025,Donovan Edwards,Outlier,6.12,44.90,-0.80,Michigan,2,2/25/03,22.60,JR,22.18,DYNAMIC,SLASHER,71,205,4.44,0,0.00%,9.01%,23.74%,12.99%,19.56%,21.65%,21.65%,7.77%,5.16%,6.47%,6.47%,19.54,105.50,28.59,0.22,4.66,9.10,0.13,72.10,3.70,53.10,4.00,7.00,6.00,8.00,5.00,0.00,1.00,3.00,0.0,1.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,174,2358,3,31,35,6,4.97,33.50,2.63,33.30,265,2516,20,1,17,991,2628,7,32,140,31,7.08,72.10,3.70,53.10,207,2419,19,2,19,497,2537,5,41,119,14,4.18,35.90,2.67,29.80,249,3206,30,0,24,592,1886,4,18,127,17,4.66,41.10,2.86,29.90,80,1549,19,1,11
181,17,2023,Chris Rodriguez Jr.,Outlier,6.11,44.60,-0.80,Kentucky,1,9/26/00,25.02,RS SR,22.60,BELL COW,3DOWN,72,217,4.55,6,0.92%,10.56%,22.78%,26.02%,22.39%,24.20%,24.20%,2.08%,1.51%,1.80%,1.80%,19.94,101.26,29.43,0.36,6.10,6.00,0.03,142.90,3.94,46.60,6.00,1.00,5.00,6.00,9.00,5.00,7.00,4.00,2.0,0.00,43,2592,0,27,2,2,21.50,1300.00,13.00,100.00,0,2099,0,0,14,533,3624,6,36,71,23,7.50,140.80,4.41,52.90,6,1478,1,0,9,785,2162,11,19,119,31,6.60,104.90,3.93,46.60,12,1336,1,0,7,1377,2594,9,27,224,56,6.10,96.50,3.94,29.30,61,2933,13,0,24,904,1511,6,9,175,63,5.20,142.90,3.84,35.40,41,2710,5,0,21
182,17,2022,Keaontay Ingram,Outlier,6.07,44.30,-0.82,USC,5,10/26/99,25.94,SR,22.52,BELL COW,PLODDER,72,221,4.53,6,0.00%,16.81%,18.00%,7.30%,20.03%,20.03%,17.03%,3.68%,4.36%,4.36%,3.70%,18.86,104.96,29.97,0.27,5.80,9.37,0.12,105.90,3.71,39.70,3.00,4.00,8.00,7.00,7.00,4.00,4.00,3.00,2.0,0.00,0,2591,0,29,0,0,2.00,0.00,0.00,0.00,0,3365,0,0,18,708,1602,3,17,142,29,5.00,66.80,3.05,28.20,169,3615,8,0,28,853,2295,7,26,143,38,6.00,105.90,3.66,38.30,237,3761,30,0,32,244,1953,1,20,53,11,4.60,58.30,2.87,17.20,103,2801,11,0,32,911,1747,5,16,156,35,5.80,89.50,3.71,39.70,156,3580,22,0,21
183,18,2024,Keilan Robinson,Outlier,6.06,44.00,-0.82,Texas,3,2/16/00,25.63,RS SR,24.21,JITTERBUG,+RECEIVER,68,191,4.42,5,6.21%,0.00%,17.07%,5.46%,3.32%,10.19%,9.18%,6.98%,1.61%,4.30%,3.87%,21.55,100.09,29.04,0.50,11.17,9.49,0.40,197.10,3.76,60.20,0.00,4.00,2.00,5.00,10.00,10.00,9.00,3.00,3.0,0.00,254,1350,17,17,39,6,6.51,73.40,4.77,55.10,0,2738,0,0,30,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,322,2193,3,23,45,16,7.16,122.80,3.76,60.20,57,26,7,0,26,86,2447,0,29,25,6,3.44,54.80,2.24,30.20,219,3138,20,3,22,134,2261,3,25,12,6,11.17,197.10,3.58,59.70,56,3469,8,0,22
184,16,2016,Josh Ferguson,Outlier,6.06,43.70,-0.82,Illinois,2,5/23/93,32.37,RS SR,22.95,JITTERBUG,+RECEIVER,69,198,4.48,0,6.18%,18.98%,25.66%,24.36%,29.51%,29.51%,29.51%,13.15%,12.87%,13.01%,13.01%,19.29,98.31,29.24,0.20,5.49,8.98,0.22,69.20,3.02,48.20,8.00,9.00,7.00,4.00,6.00,2.00,4.00,3.00,0.0,0.25,52,515,0,5,0,0,0.00,0.00,0.00,0.00,14,552,2,0,3,312,1278,0,10,0,0,0.00,0.00,0.00,0.00,251,1688,29,0,9,779,1668,7,19,0,0,0.00,0.00,0.00,0.00,535,3452,50,4,23,736,1528,8,16,143,24,5.15,42.90,2.59,48.20,427,3247,50,2,25,708,1164,3,10,129,26,5.49,69.20,3.02,45.50,282,2191,37,2,12
185,19,2024,Blake Watson,Outlier,6.05,43.40,-0.83,Memphis,6,10/14/99,25.97,SR,24.55,DYNAMIC,3DOWN,69,195,4.55,0,6.45%,0.00%,28.56%,33.07%,27.41%,30.24%,22.68%,11.55%,12.12%,12.12%,9.09%,21.90,91.00,28.79,0.38,6.00,8.24,0.22,177.30,4.57,46.50,4.00,9.00,2.00,2.00,10.00,4.00,8.00,7.00,0.0,0.00,116,1085,1,14,25,13,4.64,212.90,4.76,31.00,79,1940,13,0,4,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,1117,1740,8,2,215,33,5.20,51.50,3.13,27.90,55,2363,10,1,13,921,1015,5,8,159,60,5.79,177.30,4.57,44.70,314,2719,37,2,18,1151,1976,14,31,192,50,6.00,111.60,3.74,46.50,483,3985,53,3,33
186,15,2020,La'mical Perine,Outlier Lite,5.93,43.10,-0.88,Florida,1,1/30/98,27.68,SR,22.24,BELL CALF,+RECEIVER,70,216,4.62,4,0.00%,13.06%,17.10%,17.92%,16.90%,17.41%,17.41%,6.12%,6.91%,6.91%,6.91%,19.60,94.82,30.99,0.21,6.10,10.35,0.24,69.10,3.73,39.40,3.00,7.00,6.00,3.00,4.00,5.00,1.00,3.00,4.0,0.00,0,1777,0,19,0,0,0.00,0.00,0.00,0.00,0,2899,0,0,20,421,1667,1,11,91,15,4.60,45.90,2.73,31.80,163,2805,10,0,18,552,1720,8,15,136,28,4.10,56.80,2.68,30.30,80,1975,10,0,10,824,2771,7,23,134,17,6.10,49.50,3.31,39.40,170,2776,5,0,28,676,1687,6,21,132,24,5.10,69.10,3.73,36.40,270,3910,41,0,33
187,13,2015,Matt Jones,Outlier Lite,5.92,42.80,-0.88,Florida,1,3/7/93,32.58,JR,22.15,BRUISER,PLODDER,74,231,4.61,3,0.00%,0.00%,7.10%,22.99%,21.81%,22.40%,22.40%,2.93%,3.28%,3.28%,3.28%,20.50,102.29,29.66,0.17,5.29,5.26,0.06,44.80,2.73,34.10,4.00,3.00,4.00,6.00,2.00,2.00,0.00,0.00,6.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,275,2257,3,0,52,0,5.29,0.00,0.00,0.00,10,1756,3,0,0,339,729,2,0,79,0,4.29,0.00,0.00,0.00,25,855,5,0,0,817,2065,6,20,166,29,4.92,44.80,2.73,34.10,65,1979,11,1,17
188,18,2022,Kevin Harris,Outlier Lite,5.91,42.50,-0.89,South Carolina,1,11/17/00,24.88,JR,21.46,BELL CALF,SLASHER,70,221,4.62,6,0.00%,0.00%,4.59%,36.52%,16.96%,26.74%,26.74%,8.49%,3.40%,5.95%,5.95%,19.81,97.02,31.71,0.20,6.20,7.83,0.07,70.70,3.31,47.20,7.00,6.00,5.00,4.00,4.00,5.00,1.00,1.00,2.0,0.00,0,1588,0,16,0,0,0.00,0.00,0.00,0.00,0,2794,0,0,18,0,1986,0,15,0,0,0.00,0.00,0.00,0.00,0,3547,0,0,32,179,1796,4,18,21,8,8.50,280.40,7.48,67.00,26,2667,3,0,12,1138,1679,15,21,185,37,6.20,70.70,3.31,47.20,159,1872,21,0,8,655,1773,4,9,153,23,4.30,47.90,3.14,23.70,89,2615,11,0,22
189,23,2025,Tahj Brooks,Outlier Lite,5.89,42.20,-0.89,Texas Tech,3,5/13/00,25.39,RS SR,24.97,BELL CALF,SLASHER,69,214,4.52,6,7.37%,16.86%,14.32%,32.17%,33.62%,33.62%,30.26%,2.40%,6.10%,6.10%,5.49%,21.32,102.54,31.60,0.33,5.30,5.41,0.09,107.90,3.42,38.90,8.00,6.00,2.00,6.00,9.00,2.00,5.00,1.00,2.0,0.00,256,1634,4,17,68,20,3.76,80.60,2.84,17.20,61,2667,13,0,18,580,1433,7,21,88,18,6.59,73.50,3.84,48.30,52,2315,6,0,13,695,2066,7,29,148,42,4.70,69.70,2.76,26.60,164,3933,26,1,26,1547,2115,10,17,292,96,5.30,107.90,3.42,29.20,70,2912,28,0,23,1512,1826,17,22,287,58,5.27,67.50,3.04,38.90,199,3264,28,1,28
190,16,2017,Wayne Gallman,Outlier Lite,5.88,41.80,-0.90,Clemson,4,10/1/94,31.01,JR,22.59,BELL COW,PLODDER,72,215,4.6,4,0.00%,0.00%,16.52%,22.31%,16.86%,19.59%,17.63%,4.55%,2.85%,3.70%,3.33%,19.93,96.04,29.16,0.24,5.40,6.82,0.08,82.00,3.32,35.20,3.00,3.00,5.00,3.00,6.00,2.00,4.00,3.00,4.0,0.00,0,2484,0,0,0,0,0.00,0.00,0.00,0.00,0,4181,0,0,0,0,2270,0,0,0,0,0.00,0.00,0.00,0.00,0,4330,0,0,0,769,1904,4,0,161,30,4.80,47.70,2.52,35.20,108,3404,24,0,0,1523,3345,13,0,282,67,5.40,82.00,3.32,32.90,199,4373,22,0,0,1131,2546,17,0,232,56,4.90,72.10,2.98,28.00,143,5009,20,0,0
191,14,2015,David Cobb,Outlier Lite,5.86,41.50,-0.91,Minnesota,2,6/3/93,32.34,SR,21.91,BRUISER,PLODDER,71,229,4.81,5,0.00%,0.00%,0.00%,31.96%,38.47%,38.47%,38.47%,6.86%,8.79%,8.79%,8.79%,20.26,85.56,31.94,0.20,5.21,10.18,0.05,59.50,3.10,30.70,10.00,8.00,4.00,1.00,3.00,1.00,2.00,2.00,3.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,1202,1768,7,0,237,0,5.07,0.00,0.00,0.00,174,2538,17,0,0,1625,2802,13,33,312,61,5.21,59.50,3.10,30.70,162,1843,16,0,12
192,20,2024,Carson Steele,Outlier Lite,5.85,41.20,-0.91,UCLA,5,10/21/02,22.95,JR,21.53,BELL COW,3DOWN,73,215,4.55,0,0.00%,0.00%,15.45%,23.88%,19.67%,21.78%,18.51%,6.05%,5.93%,5.99%,5.09%,18.87,100.33,28.36,0.25,5.29,8.38,0.09,132.60,4.02,38.20,3.00,5.00,8.00,5.00,6.00,2.00,7.00,5.00,0.0,0.00,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,886,1690,6,17,192,48,4.61,92.00,3.61,31.40,157,2699,12,1,18,1528,1868,14,14,289,0,5.29,132.60,4.02,38.20,166,2742,29,1,18,845,2375,6,19,167,39,5.10,98.40,3.85,22.40,163,2750,17,2,22
193,19,2022,Tyrion Davis-Price,Outlier Lite,5.84,40.90,-0.91,LSU,1,10/23/00,24.95,JR,21.53,DYNAMIC,PLODDER,72,211,4.48,3,0.00%,0.00%,4.32%,11.36%,22.53%,22.53%,22.53%,1.51%,1.93%,1.93%,1.93%,20.88,104.76,28.61,0.18,4.80,6.57,0.05,54.50,3.03,27.30,4.00,1.00,3.00,7.00,2.00,0.00,0.00,0.00,6.0,0.50,0,2699,0,25,0,0,0.00,0.00,0.00,0.00,0,2645,0,0,17,0,2257,0,29,0,0,0.00,0.00,0.00,0.00,0,2970,0,0,17,295,2502,6,32,64,12,4.60,48.50,2.56,22.70,73,6024,10,0,61,446,1217,3,9,104,18,4.30,54.10,3.03,23.50,47,3122,8,0,24,1015,1482,6,9,211,37,4.80,54.50,2.80,27.30,64,3308,10,0,32
194,24,2025,Brashard Smith,Outlier Lite,5.81,40.60,-0.93,SMU,3,4/11/03,22.48,RS JR,22.06,JITTERBUG,+RECEIVER,68,194,4.39,7,0.00%,4.11%,7.86%,7.63%,27.65%,27.65%,24.89%,8.49%,9.19%,9.19%,8.27%,21.42,104.47,29.49,0.22,5.72,10.09,0.15,77.10,3.34,86.40,6.00,8.00,2.00,7.00,5.00,3.00,2.00,1.00,1.0,0.25,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0,1,0,0,0,23,1546,0,20,6,1,3.83,75.00,3.00,0.00,199,3854,14,2,30,35,1407,0,11,5,2,7.00,161.60,4.60,0.00,301,2868,32,0,17,132,2078,1,22,9,2,14.67,45.90,1.78,86.40,263,3096,22,2,22,1326,2347,14,28,232,52,5.72,77.10,3.34,43.10,337,3667,41,4,24
