Overall RK,Class Rk,Year,Player Name,,QB Grade,Overall,Z-Score,School,Conf Rk,DOB,Age,Year,Draft Age,Archetype,Height,Weight,40 Time,Draft Cap,DOM1,DOM2,DOM3,DOM4,DOM5,TDOM,DOM+,RDOM1,RDOM2,ADOM,RDOM+,BOUT,Speed,Comp,YPC,ADJ%,BTT%,TWP%,DAA,YPA,MTF/A,YCO/A,BOUT,YPC+,ADJ%+,BTT%+,TWP%+,DAA+,RDOM++,YPA+,MTF/A+,YCO/A+,DC+,BAMA,Raw Passing,Pass Grade,Raw Run,Run Grade,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,Pass Yards,Team Yds,Pass TDs,INT,ATT,COMP,ADJ%,BTT,TWP,DAA,Rush Yds,Team Yds,ATT,YPC,TDs,MTF,YCO/A,EXP,
165,13,2021,Jamie Newman,Purgatory,2.46,20.20,-0.82,Wake Forest,4,12/1/97,27.84,SR,23.42,Run First,76,230,4.65,0,0.00%,0.22%,35.43%,76.65%,0.00%,38.33%,34.49%,29.34%,0.00%,14.67%,13.20%,21.76,98.39,61.0%,13.12,71.1%,5.9%,2.5%,51%,4.50,0.16,2.91,1.0,7.0,1.0,3.0,9.0,5.0,6.0,3.0,3.0,6.0,0.0,0.0,7.1,7.1,0.7,0.3,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,8,3599,0,1,4,2,75,0.0,25.0,50.0,5,2582,1,5,0,0,1.00,0,1083,3057,9,4,141,84,68,6.90,2.50,38,287,2971,51,5,4,3,3.67,11,2873,3748,26,11,359,219,71,5.9,2.5,50.7,712,2427,128,5,6,21,2.91,13,0,1,0,0,0,0,0,0.00,0.00,0.00,0,1,0,0.00,0,0,0.00,0,
166,14,2021,Peyton Ramsey,Purgatory,2.45,19.80,-0.82,Northwestern,2,10/31/97,27.93,SR,23.50,Game Manager,74,220,4.77,0,0.00%,38.96%,92.95%,62.27%,97.30%,97.30%,97.30%,20.11%,13.36%,16.73%,16.73%,20.85,84.99,67.7%,12.06,75.4%,4.8%,1.8%,44%,4.80,0.17,2.73,3.0,4.0,5.0,1.0,10.0,2.0,7.0,3.0,3.0,5.0,0.0,0.0,6.4,4.8,0.7,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,1242,3188,10,5,205,134,77,1.3,2.6,42.1,322,1774,51,4,1,3,1.97,6,2876,3094,19,13,448,296,74,3.10,2.90,43,505,2047,59,6,5,8,2.94,19,2448,3931,13,5,300,203,75,4.4,1.8,44.0,374,1860,47,5,7,6,2.73,15,1733,1781,12,8,283,172,74,4.80,2.90,34.50,318,2380,42,4.20,3,7,1.86,9,
167,13,2020,James Morgan,Purgatory,2.43,19.30,-0.83,FIU,10,2/28/98,27.60,RS SR,22.18,Pocket Passer,76,229,4.89,4,0.00%,76.96%,45.39%,83.84%,92.59%,92.59%,55.56%,0.77%,1.59%,1.59%,0.95%,18.52,80.10,64.9%,12.32,71.0%,3.8%,4.6%,42%,1.50,0.04,1.21,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.8,1.3,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,2088,2713,16,15,325,182,65,4.3,6.0,28.8,99,2392,18,3,0,0,1.68,3,1280,2820,9,7,213,97,57,7.10,4.90,25,49,2048,10,3,0,0,1.59,0,2678,3194,25,7,328,213,71,3.5,4.8,41.7,25,3257,25,1,1,1,0.96,1,2550,2754,14,5,357,207,70,3.80,4.60,32.70,36,2262,19,1.50,2,0,1.21,1,
168,17,2025,Max Brosmer,Purgatory,2.43,18.80,-0.83,Minnesota,2,3/28/01,24.52,RS SR,24.10,Pocket Passer,74,225,4.78,0,91.61%,6.75%,99.97%,98.62%,97.90%,98.94%,98.94%,15.86%,7.97%,11.91%,11.91%,19.44,86.20,66.0%,10.45,77.5%,5.2%,1.7%,46%,4.90,0.13,2.49,6.0,0.0,7.0,2.0,10.0,3.0,5.0,3.0,2.0,4.0,0.0,0.0,6.2,4.7,0.5,0.0,1726,1884,11,4,174,108,71,3.9,3.1,100.0,37,1453,24,2,2,2,1.0,0,128,1895,2,0,35,20,73,8.3,2.6,46.4,5,1244,3,2,0,0,3.33,0,3151,3152,27,8,422,262,71,5.20,2.80,46,234,1922,68,3,2,8,2.10,7,3498,3547,29,7,461,295,74,3.5,2.7,45.5,219,1381,45,5,5,6,2.49,9,2801,2861,18,6,406,268,78,3.10,1.70,38.50,134,1682,49,2.70,5,3,1.69,1,
169,13,2022,D'Eriq King,Purgatory,2.36,18.30,-0.85,Miami,4,8/24/97,28.11,RS SR,24.69,Run First,69,196,4.45,0,40.59%,77.12%,27.46%,87.97%,19.90%,53.93%,48.54%,34.62%,7.12%,20.87%,18.78%,21.03,99.96,65.3%,9.47,79.1%,6.4%,1.7%,63%,6.20,0.21,3.82,2.0,0.0,9.0,4.0,10.0,10.0,7.0,6.0,6.0,9.0,0.0,0.0,9.1,9.1,1.1,0.5,1273,3136,7,2,140,91,77,4.8,2.3,50.0,412,2085,48,7,8,7,2.5,13,2962,3841,36,6,344,217,73,7.5,2.1,43.1,748,3031,61,8,14,15,4.65,23,670,2440,6,2,110,58,64,5.10,2.80,17,350,2474,35,7,6,7,4.15,16,2683,3050,23,5,331,210,72,6.4,1.7,33.8,689,1990,85,6,4,18,3.82,26,767,3854,3,4,124,81,79,4.60,3.10,62.50,122,1714,15,3.70,0,1,2.24,7,
170,14,2020,Brian Lewerke,Purgatory,2.31,17.80,-0.86,Michigan State,2,10/24/96,28.95,SR,23.52,Mobile Passer,74,213,4.95,0,0.00%,14.28%,100.14%,72.31%,96.48%,98.31%,98.31%,16.90%,25.28%,25.28%,25.28%,20.87,70.96,59.7%,11.76,70.6%,4.1%,3.2%,51%,4.40,0.04,2.14,3.0,4.0,0.0,0.0,6.0,6.0,9.0,2.0,0.0,3.0,0.0,0.0,4.2,4.2,0.5,0.4,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,381,2668,2,1,58,31,62,6.6,3.9,25.7,165,2242,7,9,0,0,3.72,7,2802,2798,20,7,420,248,68,2.40,4.50,26,636,2326,74,6,5,4,2.70,23,2042,2824,8,11,342,186,64,2.8,4.4,42.9,309,1828,53,4,2,2,2.14,11,3070,3182,17,13,437,261,71,4.10,3.20,51.20,457,1808,81,4.40,3,2,2.00,13,
171,15,2016,Brandon Doughty,Purgatory,2.28,17.30,-0.87,Western Kentucky,10,10/6/91,34.00,RS SR,24.58,Pocket Passer,75,212,5.22,7,5.28%,0.26%,91.05%,99.36%,96.78%,98.07%,58.84%,3.13%,0.78%,1.95%,1.17%,21.92,57.11,71.2%,13.00,81.8%,4.7%,2.4%,53%,2.70,0.00,1.65,1.0,6.0,10.0,1.0,9.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,9.5,7.1,0.0,0.0,106,2008,0,1,22,13,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,7,2667,0,0,3,1,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,2857,3138,14,14,374,246,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,4835,4866,49,10,554,375,77,4.7,2.5,48.8,70,2240,12,3,2,0,1.65,2,5043,5211,48,9,545,388,82,4.30,2.40,53.10,18,2308,10,1.10,2,0,0.59,1,
172,18,2025,DJ Uiagalelei,Purgatory,2.27,16.90,-0.88,Florida State,4,4/17/01,24.46,RS SR,24.04,Game Manager,76,252,4.87,0,21.86%,90.34%,77.47%,83.26%,49.03%,69.69%,62.72%,11.77%,3.32%,7.55%,6.79%,20.39,89.60,57.0%,12.78,71.6%,6.2%,2.6%,47%,4.20,0.23,2.72,4.0,6.0,1.0,4.0,8.0,3.0,2.0,2.0,7.0,5.0,0.0,0.0,6.3,4.7,0.6,0.0,914,4182,5,0,119,78,77,4.0,0.0,50.0,86,2026,30,3,4,2,1.9,2,2245,2485,9,10,377,208,67,4.5,2.5,39.0,419,2312,94,5,4,12,2.84,15,2520,3253,22,7,370,229,72,5.70,2.60,39,664,2673,129,5,7,38,3.15,24,2621,3148,21,7,314,179,66,6.2,2.6,46.6,275,2337,65,4,6,13,2.72,9,1061,2164,4,6,158,83,70,3.70,2.70,25.00,46,1384,30,1.50,0,7,2.30,1,
173,12,2017,Seth Russell,Purgatory,2.26,16.40,-0.88,Baylor,3,1/24/94,31.70,SR,23.27,Game Manager,74,203,4.68,0,0.00%,9.15%,16.90%,55.95%,58.19%,58.19%,52.37%,9.48%,17.45%,17.45%,15.71%,21.61,84.63,59.5%,13.98,70.8%,8.4%,5.2%,47%,8.90,0.27,4.11,1.0,9.0,0.0,8.0,0.0,4.0,7.0,10.0,9.0,10.0,0.0,0.0,6.4,4.8,1.4,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,427,4668,3,3,43,26,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,804,4757,8,1,85,48,65,9.20,3.30,38,192,2950,33,5,3,2,1.64,8,2106,3764,29,6,200,119,71,8.4,5.3,47.3,410,4323,37,9,6,10,4.11,14,2125,3652,20,8,280,152,65,4.50,5.20,31.50,573,3283,62,6.80,8,16,3.21,18,
174,15,2020,Kelly Bryant,Purgatory,2.24,15.90,-0.88,Missouri,1,9/25/96,29.02,RS SR,23.60,Game Manager,74,229,4.69,0,0.62%,0.96%,84.47%,11.03%,82.93%,83.70%,83.70%,4.09%,18.89%,18.89%,18.89%,20.95,94.66,66.7%,12.24,73.9%,5.5%,1.6%,47%,6.10,0.25,4.58,3.0,4.0,3.0,3.0,10.0,3.0,7.0,6.0,8.0,10.0,0.0,0.0,6.5,4.9,1.2,0.0,27,4378,0,1,9,7,78,0.0,9.1,0.0,158,3516,22,7,2,4,2.6,7,48,5009,1,0,9,6,89,0.0,0.0,0.0,25,2655,11,2,1,5,4.09,1,2785,3297,13,8,401,262,74,4.30,1.60,33,832,2957,131,5,11,25,2.68,28,461,4180,2,1,54,36,72,5.5,7.9,44.4,158,3867,24,6,2,6,4.58,6,2215,2671,15,6,295,181,73,2.50,1.90,46.90,378,2001,51,4.40,1,11,2.84,13,
175,16,2020,Khalil Tate,Purgatory,2.22,15.40,-0.89,Arizona,5,10/23/98,26.95,SR,21.53,Game Manager,74,215,4.49,0,0.00%,11.37%,68.12%,82.63%,61.29%,71.96%,61.17%,11.86%,24.07%,24.07%,20.46%,18.87,105.80,60.1%,12.16,70.7%,7.3%,3.3%,40%,7.80,0.24,3.04,8.0,4.0,0.0,6.0,5.0,0.0,8.0,9.0,7.0,7.0,0.0,0.0,4.5,3.3,1.2,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,243,2137,3,3,45,18,43,7.8,7.7,13.3,252,3014,36,6,1,3,2.48,9,1596,2343,14,9,181,112,71,7.30,5.10,38,1474,4130,132,10,12,32,4.42,44,2531,3063,26,8,304,170,67,7.2,4.5,40.0,301,2537,46,4,2,5,1.56,10,1957,3193,14,11,268,161,70,5.40,3.30,37.50,558,2318,41,7.80,3,10,3.04,17,
176,14,2018,Quinton Flowers,Purgatory,2.20,14.90,-0.89,USF,6,12/2/94,30.84,SR,23.42,Run First,70,214,4.63,0,0.00%,4.66%,90.86%,95.85%,97.02%,97.02%,72.77%,41.99%,35.55%,38.77%,29.08%,20.76,93.14,62.9%,15.58,70.2%,6.5%,2.7%,42%,8.10,0.29,2.43,3.0,10.0,0.0,5.0,8.0,0.0,10.0,10.0,9.0,4.0,0.0,0.0,7.0,7.0,1.2,0.6,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,110,2361,0,2,20,8,53,4.3,8.0,20.0,73,1521,13,5,0,1,4.36,3,2295,2526,22,8,278,163,70,5.10,4.70,41,1065,3377,128,6,12,19,2.30,35,2819,2941,24,7,334,210,68,5.8,2.7,39.5,1589,3784,152,8,18,44,2.43,50,2898,2987,25,6,355,186,68,6.50,3.60,42.40,1169,3288,128,6.30,11,21,2.32,53,
177,15,2023,Sean Clifford,Purgatory,2.18,14.40,-0.90,Penn State,2,7/14/98,27.22,RS SR,24.80,Distributor,74,210,4.7,5,6.88%,92.25%,82.03%,89.00%,85.96%,89.10%,89.10%,21.60%,10.72%,16.16%,16.16%,21.15,86.07,64.4%,12.49,77.1%,4.6%,2.2%,46%,5.20,0.09,2.13,2.0,4.0,7.0,1.0,9.0,3.0,7.0,4.0,0.0,3.0,1.0,0.0,7.1,5.6,0.5,0.3,195,2836,2,0,7,5,71,50.0,0.0,75.0,11,2897,2,4,0,0,2.0,0,2654,2877,23,7,321,188,73,3.2,3.0,37.7,483,2659,69,5,5,10,1.93,17,1890,2304,16,9,253,153,72,1.90,3.10,22,458,1739,60,6,3,10,3.26,17,3107,3491,21,8,431,261,72,4.6,2.5,39.7,352,1630,39,5,2,2,2.13,14,2822,3283,24,7,351,226,77,4.00,2.20,45.70,265,2473,34,4.60,5,3,1.58,9,
178,29,2026,Jackson Arnold,Purgatory,2.16,14.00,-0.90,Auburn,1,9/2/04,21.08,JR,21.66,Run First,73,211,4.7,0,0.00%,0.00%,13.19%,61.68%,97.30%,79.49%,79.49%,28.09%,30.08%,30.08%,30.08%,20.01,86.48,68.3%,10.45,76.6%,2.9%,2.1%,46%,6.23,0.30,3.53,5.0,0.0,6.0,0.0,9.0,3.0,10.0,6.0,10.0,8.0,0.0,0.0,5.0,5.0,1.3,0.6,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,557,4223,4,3,69,44,75,5.20,5.80,30,124,2490,33,4,1,5,2.12,6,1410,2286,12,3,246,154,73,2.7,2.3,26.7,653,2325,118,6,3,18,3.53,24,721,741,5,0,101,69,77,2.90,2.10,46.20,268,891,43,6.23,4,13,2.58,10,
179,15,2018,Riley Ferguson,Purgatory,2.13,13.50,-0.92,Memphis,6,1/19/95,30.71,SR,23.28,Pocket Passer,75,212,4.98,0,0.00%,0.00%,0.00%,93.28%,97.68%,97.68%,73.26%,6.19%,5.03%,5.61%,4.21%,21.63,68.94,63.1%,14.23,74.7%,5.4%,3.5%,46%,3.40,0.03,1.81,1.0,10.0,4.0,2.0,5.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,7.4,5.6,0.1,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,0,1,0,0,0,0,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,3691,3957,32,10,444,280,74,5.4,3.5,44.4,145,2343,30,3,4,0,1.81,4,4254,4355,38,9,475,299,75,3.80,4.50,46.10,136,2703,38,2.80,6,1,1.53,7,
180,30,2026,Miller Moss,Purgatory,2.10,13.00,-0.93,Louisville,4,3/29/02,23.52,RS SR,24.10,Pocket Passer,74,210,4.7,0,2.07%,3.39%,15.73%,67.14%,88.80%,77.97%,70.17%,1.40%,3.53%,3.53%,3.18%,22.44,86.07,67.1%,13.02,75.7%,3.4%,2.0%,44%,6.00,0.08,2.08,0.0,7.0,5.0,0.0,10.0,1.0,1.0,6.0,0.0,3.0,0.0,0.0,6.9,5.2,0.4,0.0,74,3580,1,0,13,8,67,0.0,12.5,0.0,13,2841,2,7,0,1,5.5,1,159,4696,1,0,14,12,86,7.1,0.0,100.0,7,2763,4,2,0,0,0.50,1,681,4329,7,1,65,46,81,6.00,1.50,54,25,2764,7,4,2,1,1.14,2,2548,3795,18,9,364,233,73,3.4,3.1,43.6,36,2577,12,3,2,1,2.08,0,690,777,2,2,79,53,76,3.30,2.00,42.90,18,510,3,6.00,1,0,0.33,0,
181,16,2018,Kyle Allen,Purgatory,2.09,12.50,-0.93,Houston,6,3/8/96,29.58,RS JR,22.15,Game Manager,75,210,4.74,0,0.00%,33.29%,65.83%,0.00%,23.95%,44.89%,33.67%,0.00%,0.58%,0.58%,0.43%,19.49,83.20,76.2%,9.39,85.1%,5.8%,4.3%,47%,1.30,0.17,2.33,6.0,0.0,10.0,3.0,1.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,5.3,4.0,0.3,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,1322,3971,16,7,191,118,69,1.5,5.8,28.6,83,2107,11,4,1,0,1.73,5,2212,3360,17,7,285,160,66,5.80,4.90,47,250,2406,33,6,2,4,1.93,14,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,751,3136,4,4,105,80,85,1.80,4.30,40.00,12,2085,6,1.30,0,1,2.33,0,
182,17,2018,Tanner Lee,Purgatory,2.01,12.00,-0.95,Nebraska,2,2/14/95,30.64,RS JR,23.21,Pocket Passer,76,218,4.98,6,0.00%,81.78%,67.12%,0.00%,94.23%,94.23%,94.23%,0.00%,0.73%,0.73%,0.73%,19.56,70.89,57.2%,12.81,67.0%,4.1%,5.7%,41%,1.50,0.00,1.00,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,1.6,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,1975,2415,12,14,337,185,62,2.5,6.7,24.6,46,1973,7,3,0,0,4.06,2,1621,2415,11,7,276,143,65,3.20,6.90,29,-4,1687,5,-1,0,1,0.20,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,3138,3330,23,16,428,245,67,4.10,5.70,41.20,22,3005,9,1.50,2,0,1.00,0,
183,18,2018,Kenny Hill,Purgatory,1.97,11.50,-0.96,TCU,3,12/20/94,30.79,RS SR,23.37,Mobile Passer,73,205,4.73,0,0.00%,66.51%,0.00%,92.31%,92.45%,92.45%,83.21%,27.97%,16.42%,22.20%,19.98%,19.71,81.91,67.3%,11.75,73.7%,3.9%,4.2%,39%,7.60,0.32,4.13,6.0,4.0,3.0,0.0,2.0,0.0,8.0,9.0,10.0,10.0,0.0,0.0,3.0,3.0,1.4,1.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,2641,3971,23,8,322,213,77,4.5,3.0,44.0,264,2107,14,7,0,3,4.03,9,0,1,0,0,0,0,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,3218,3486,17,13,448,271,72,3.9,4.6,38.0,751,2685,57,8,10,18,4.13,28,3172,3431,23,8,401,270,74,3.30,4.20,38.90,428,2606,66,4.50,5,10,2.01,15,
184,17,2020,Steven Montez,Purgatory,1.96,11.10,-0.96,Colorado,5,1/14/97,28.72,SR,23.30,Distributor,76,231,4.58,0,0.00%,30.26%,95.36%,95.39%,98.29%,98.29%,83.54%,22.35%,14.31%,18.33%,15.58%,20.64,105.00,64.8%,11.02,73.9%,4.9%,2.4%,39%,6.30,0.11,3.55,3.0,3.0,3.0,1.0,9.0,0.0,7.0,6.0,1.0,8.0,0.0,0.0,4.7,3.7,0.8,0.4,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,1078,3563,9,5,141,83,71,3.4,5.5,31.3,277,2732,36,6,1,5,3.00,10,2980,3125,18,9,379,229,70,3.30,2.40,36,561,2166,82,5,3,16,2.02,20,2857,2995,19,9,400,259,73,4.9,3.2,38.1,434,1942,38,6,4,3,3.55,15,2809,2858,17,10,406,255,74,3.30,3.20,38.90,278,1943,35,5.10,3,4,1.84,13,
185,19,2018,Austin Allen,Purgatory,1.94,10.60,-0.97,Arkansas,1,8/21/94,31.12,SR,23.70,Pocket Passer,72,209,4.81,0,0.00%,6.26%,1.00%,100.12%,57.04%,78.58%,78.58%,4.08%,3.84%,3.96%,3.96%,22.04,78.09,60.9%,13.39,71.5%,5.8%,3.4%,48%,5.30,0.09,2.05,0.0,7.0,1.0,3.0,5.0,4.0,1.0,4.0,0.0,3.0,0.0,0.0,5.8,4.4,0.3,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,153,2444,0,1,17,8,56,0.0,5.0,0.0,17,2903,5,3,1,0,2.00,0,35,3486,1,0,3,1,33,0.00,0.00,100,-2,2654,1,-2,0,0,0.00,0,3438,3434,25,15,404,246,69,5.8,4.8,48.3,98,2401,23,3,2,2,2.05,4,1406,2465,10,5,189,105,72,4.00,3.40,45.70,84,2186,2,5.30,1,0,1.50,4,
186,13,2019,Clayton Thorson,Purgatory,1.92,10.10,-0.98,Northwestern,2,6/15/95,30.31,SR,23.88,Pocket Passer,76,222,4.75,5,0.00%,84.56%,99.78%,93.39%,95.05%,97.41%,97.41%,8.96%,6.83%,7.90%,7.90%,20.22,87.22,60.6%,10.66,72.1%,4.0%,2.6%,40%,3.50,0.07,1.84,4.0,1.0,2.0,0.0,8.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,3.1,2.3,0.2,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,1523,1801,7,9,295,150,66,3.0,6.9,35.7,494,2636,75,5,5,15,2.11,16,3179,3186,22,9,479,281,70,4.00,4.10,36,284,2206,55,4,5,5,1.76,7,2839,3040,15,12,435,262,72,2.6,4.9,39.5,222,2478,46,4,8,3,1.84,8,3186,3352,17,15,493,299,72,3.10,2.60,37.70,127,1859,37,2.40,9,1,1.32,4,
187,8,2015,Shane Carden,Purgatory,1.89,9.60,-0.99,East Carolina,6,11/6/91,33.92,SR,23.49,Distributor,74,221,4.94,0,0.00%,0.00%,87.75%,97.05%,97.77%,97.77%,73.32%,0.00%,12.53%,12.53%,9.40%,20.83,74.22,70.5%,12.03,73.0%,2.9%,2.2%,50%,4.39,0.12,1.41,3.0,4.0,3.0,0.0,9.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,5.8,4.6,0.3,0.1,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,3116,3551,23,10,413,273,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,4139,4265,33,10,549,387,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,4727,4835,30,10,624,393,73,2.90,2.20,49.50,290,2314,66,4.39,6,8,1.41,9,
188,31,2026,Haynes King,Purgatory,1.86,9.10,-0.99,Georgia Tech,4,1/9/01,24.73,RS SR,25.31,Game Manager,75,215,4.7,0,11.99%,46.33%,98.71%,68.13%,52.49%,83.42%,75.08%,23.71%,15.12%,19.42%,17.47%,22.66,88.12,72.3%,11.22,82.3%,5.4%,0.0%,52%,7.80,0.25,2.63,0.0,3.0,10.0,2.0,10.0,6.0,7.0,9.0,8.0,5.0,0.0,0.0,9.0,6.7,1.1,0.0,300,2503,2,3,35,22,69,2.8,2.5,40.0,29,2308,5,6,0,2,7.6,2,1220,2633,7,6,188,104,67,2.0,5.2,37.0,117,1836,24,5,1,2,1.42,5,2834,2871,27,16,370,225,70,5.40,3.90,37,811,2744,114,7,10,19,3.11,27,2104,3088,14,2,271,196,82,2.8,1.0,52.0,581,2450,123,5,11,17,2.63,22,505,962,2,1,66,45,81,4.30,0.00,37.50,156,1032,20,7.80,5,5,2.29,9,
189,18,2020,Anthony Gordon,Purgatory,1.78,8.60,-1.02,Washington State,5,8/23/96,29.12,SR,23.69,Pocket Passer,74,205,4.9,0,0.00%,0.00%,0.00%,0.35%,97.89%,97.89%,83.21%,0.00%,10.72%,10.72%,9.12%,23.04,71.12,71.2%,11.28,79.8%,3.9%,3.6%,43%,3.30,0.00,2.09,0.0,3.0,9.0,0.0,4.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,5.4,4.1,0.2,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,0,1,0,0,0,0,0,0.00,0.00,0,0,1,0,0,0,0,0.00,0,17,4856,0,1,5,3,60,0.0,20.0,0.0,0,1112,0,0,0,0,0.00,0,5563,5683,48,16,692,493,80,3.90,3.60,42.60,114,1063,8,3.30,0,0,2.09,4,
190,14,2019,Kyle Shurmur,Purgatory,1.77,8.20,-1.02,Vanderbilt,1,11/6/96,28.91,SR,22.48,Pocket Passer,76,230,4.91,0,0.00%,24.39%,96.90%,96.96%,98.93%,98.93%,98.93%,2.65%,2.75%,2.75%,2.75%,19.83,79.15,61.9%,12.29,72.0%,3.7%,3.2%,44%,2.70,0.00,1.20,5.0,4.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,503,2062,5,3,103,44,56,4.8,5.1,46.2,24,2068,2,5,0,0,3.60,1,2409,2486,9,10,380,204,67,2.30,4.30,32,89,2358,6,4,0,0,2.05,3,2834,2923,26,10,380,221,71,3.7,3.2,44.0,37,1398,12,2,3,0,1.20,2,3134,3168,24,6,412,255,72,2.80,3.80,42.90,65,2363,11,2.70,0,0,1.17,0,
191,15,2024,Austin Reed,Purgatory,1.66,7.70,-1.05,Western Kentucky,10,2/22/00,25.61,RS SR,24.19,Pocket Passer,74,220,4.82,0,96.94%,0.00%,98.56%,96.21%,86.63%,92.60%,55.56%,14.51%,9.57%,12.04%,7.22%,19.53,81.52,64.6%,11.51,73.0%,5.5%,3.5%,49%,3.70,0.07,1.33,6.0,4.0,3.0,3.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,5.5,4.1,0.1,0.0,4084,4213,0,0,0,0,0,0.0,0.0,0.0,149,1966,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.00,0,3418,3468,0,0,0,0,0,0.00,0.00,0,174,1966,0,0,0,0,0.00,0,4744,4931,40,11,605,391,73,5.5,3.6,49.1,313,2157,85,4,8,6,1.33,10,3338,3853,31,11,471,290,70,4.20,3.50,33.80,141,1473,46,3.40,4,1,0.80,4,
